Topic,Studies
Optic Nerve Crush,Neuroprotective effects of saturated hydrogen water on retinal ganglion cells in rat optic nerve ...2014 - Eye - Retinal InjuryObjective: To investigate the protective effect of saturated hydrogen water on the retinal ganglion cells (RGC) of the rat optic nerve crush model. Design: Experimental study. Participants: Eighteen healthy adult male SD rats. Methods: Eighteen SD ...
Osteoarthritis,Protective Effects of Hydrogen-Rich Water Against Cartilage Damage in a Rat Model of Osteoarthritis ...2020 - Bone - OsteoarthritisBACKGROUND The aim of this study was to investigate the mechanisms underlying the potential effects of hydrogen-rich water (HW) on articular cartilage in a rat osteoarthritis (OA) model. MATERIAL AND METHODS A rat model of OA was established using ...
Osteonecrosis,"A study on the protective effect of molecular hydrogen on osteoradionecrosis of the jaw in rats2020 - Bone - OsteonecrosisThe aim of this study was to investigate the protective effect of hydrogen in a rat model of osteoradionecrosis of the jaw (ORNJ). The rats and bone marrow-derived mesenchymal stem cells (BMSCs) were pre-treated with hydrogen before receiving ...

Protective effects of molecular hydrogen on steroid-induced osteonecrosis in rabbits via reducing ...2017 - Bone - OsteonecrosisBackground: The objective of this study was to investigate the protective effects of molecular hydrogen, a novel and selective antioxidant, on steroid-induced osteonecrosis (ON) in a rabbit model. Methods: Sixty rabbits were randomly divided into two ...

Hydrogen-rich saline attenuates steroid-associated femoral head necrosis through inhibition of ...2015 - Bone - OsteonecrosisA growing body of evidence suggests that hydrogen is a novel, selective antioxidant that exerts a protective effect against organ damage. The present study investigated the effect of hydrogen-rich saline on corticosteroid‑induced necrosis of the ..."
Osteoporosis,"Transcriptome analysis of hydrogen inhibits osteoclastogenesis of mouse bone marrow mononuclear ...2023 - Bone Marrow - OsteoporosisHydrogen (H2) is a major biodegradation product of implanted magnesium (Mg) alloys that are commonly used in the healing of bone fractures. Our earlier study showed that H2 can inhibit mouse bone marrow mononuclear cell (BMMC) osteoclastogenesis ...

Hydrogen gas protects against ovariectomy-induced osteoporosis by inhibiting NF-κB activation2019 - Bone - OsteoporosisObjectives: Osteoporosis is a prevalent condition among postmenopausal women, and lacks satisfactory therapeutic options. Hydrogen (H2) has been shown to be effective in alleviating many diseases. This study aimed to investigate the effects of H2 on ..."
Ovarian Injury,"Protective Effect of Hydrogen Rich Saline Solution on Experimental Ovarian Ischemia Reperfusion ...2016 - Ovaries - Ovarian InjuryBackground: The present study aimed to investigate the effects of hydrogen rich saline solution (HRSS) in a rat model of ovarian ischemia-reperfusion injury. Methods: Thirty-six female Wistar-albino rats were grouped randomly, into six groups of six ..."
Oxalate Injury,"UPLC/MS-Based Metabolomics Investigation of the Protective Effect of Hydrogen Gas Inhalation on Mice ...2018 - Kidney - Kidney StonesHydrogen has a significant protective effect on calcium oxalate-induced renal injury, but its effect on metabolic profiles is unknown. This study showed the effects of hydrogen on serum and urine metabolites in a renal injury model. Ultra-HPLC ...

Inhalation of hydrogen gas ameliorates glyoxylate-induced calcium oxalate deposition and renal ...2015 - Kidney - Kidney StonesThe aim of this study is to evaluate the protective effect and underlying mechanism of hydrogen gas (H2) to glyoxylate induced renal calcium oxalate (CaOx) crystal deposition in mice. In present work, rodent renal CaOx crystal deposition model was ..."
Painful Bladder Syndrome,"Effect of supplementation with hydrogen-rich water in patients with interstitial cystitis/painful ...2013 - Bladder - Painful Bladder SyndromeTo investigate the efficacy of hydrogen-rich water for the treatment of patients with interstitial cystitis/painful bladder syndrome (IC/PBS). We conducted a prospective, randomized, double-blind, placebo-controlled clinical trial of hydrogen-rich ..."
Pancreatitis,
Panic Disorder,"Effects of hydrogen water and psychological treatment in a sample of women with panic disorder: a ...2022 - Brain - AnxietyResearch suggests that inflammation is an important mediator in the pathophysiology of anxiety disorders. In addition, women are more likely to develop an anxiety and depression disorder, in comorbidity with a wide spectrum of diseases related to the ..."
Paraplegia,"Beneficial effects of hydrogen gas against spinal cord ischemia-reperfusion injury in rabbits2011 - Spine - ParaplegiaRecently, hydrogen gas (H₂) is reported to be a new therapeutic agent in organ damage induced by ischemia-reperfusion (I/R). The present study was designed to investigate the beneficial effects of H₂ against spinal cord I/R injury and its ..."
Parkinson's Disease,"Randomized double-blind placebo-controlled trial of hydrogen inhalation for Parkinson’s ...2021 - Brain - Parkinson's DiseaseBackground: Oxidative stress is involved in the progression of Parkinson's disease (PD). Recent studies have confirmed that molecular hydrogen (H2) functions as a highly effective antioxidant in animal models of PD. A placebo-controlled, randomized, ...

Randomized, double-blind, multicenter trial of hydrogen water for Parkinson’s disease: New ...2018 - Brain - Parkinson's DiseaseBackground: Our previous randomized double-blind study showed that drinking hydrogen (H2) water for 48 weeks significantly improved the total Unified Parkinson’s Disease Rating Scale (UPDRS) score of Parkinson’s disease (PD) patients treated with ...

A randomized double-blind multi-center trial of hydrogen water for Parkinson’s disease: ...2016 - Brain - Parkinson's DiseaseBackground: Our previous randomized double-blind study showed that drinking hydrogen (H2) water for 48 weeks significantly improved the total Unified Parkinson's Disease Rating Scale (UPDRS) score of Parkinson's disease (PD) patients treated with ...

Pilot study of H-2 therapy in Parkinson’s disease: A randomized double-blind ...2013 - Brain - Parkinson's DiseaseBackground: Oxidative stress is involved in the progression of Parkinson's disease (PD). Recent studies have confirmed that molecular hydrogen (H₂) functions as a highly effective antioxidant in cultured cells and animal models. Drinking ..."
Pemphigus,
Periodontitis,"Drinking Hydrogen-Rich Water Has Additive Effects on Non-Surgical Periodontal Treatment of Improving ...2015 - Mouth - PeriodontitisOxidative stress is involved in the pathogenesis of periodontitis. A reduction of oxidative stress by drinking hydrogen-rich water (HW) might be beneficial to periodontal health. In this pilot study, we compared the effects of non-surgical ...

Biological toxicity of acid electrolyzed functional water: Effect of oral administration on mouse ...2011 - Mouth - PeriodontitisObjective: Acid electrolyzed functional water has been used in a variety of ways because of its antiseptic action. In the present study, we investigated both the systemic and gastrointestinal effects of ingesting acid electrolyzed functional water, ...

Antibacterial effect of electrolyzed water on oral bacteria2006 - Mouth - PeriodontitisThis study investigated the antibacterial effect of electrolyzed water on oral bacteria both in vitro and in vivo. Tap water was electrolyzed in a water vessel using platinum cell technology. The electrolyzed tap water (called Puri-water) was put in ..."
Peripheral Arterial Disease,
Placental Stress,Hydrogen-rich water ameliorates rat placental stress induced by water restriction2018 - Pregnancy - DehydrationDehydration is one of the intrauterine abnormalities that could lead to fetal growth retardation and to increase the risk of a variety of adult diseases later in life. This study were to determine the impact of hydrogen-rich water (HRW) ...
Polycystic Kidney Disease,
Polycystic Ovary Syndrome,"The effect of hydrogen-rich water on letrozole-induced polycystic ovary syndrome in rats2023 - Ovaries - Polycystic Ovary SyndromeResearch question: What is the effect of hydrogen-rich water on rats with polycystic ovary syndrome (PCOS)? Design: Female rats were divided into four groups, each consisting of eight animals. The control group received a carboxymethyl cellulose ..."
Poor Hair Quality,
Postoperative Cognitive Impairment,Effects of Hydrogen-Rich Saline on Hepatectomy-Induced Postoperative Cognitive Dysfunction in Old ...2017 - Brain - Surgery/TransplantationThis study aims to investigate the protective effects and underlying mechanisms of hydrogen-rich saline on the cognitive functions of elder mice with partial hepatectomy-induced postoperative cognitive dysfunction (POCD). Ninety-six old male Kunming ...
Postoperative Delirium,
Postoperative Ileus,
Postoperative Liver Failure,
Postoperative Pain,
Postsurgical Peritoneal Adhesions,Effect of Hydrogen-Rich Saline on Postoperative Intra-Abdominal Adhesion Bands Formation in Mice2017 - Peritonium - Surgery/TransplantationBackground Postsurgical peritoneal adhesions (PPAs) are pathologic fibrous bands within the peritoneal cavity. The aim of this study was to investigate the protective effect of hydrogen-rich saline (HRS) on PPAs formation in mice. Material/Methods ...
Preeclampsia,"Molecular hydrogen ameliorates several characteristics of preeclampsia in the Reduced Uterine ...2016 - Pregnancy - PreeclampsiaOxidative stress plays an important role in the pathogenesis of preeclampsia. Recently, molecular hydrogen (H2) has been shown to have therapeutic potential in various oxidative stress-related diseases. The aim of this study is to investigate the ...

Effects of vitamin C, vitamin E, and molecular hydrogen on the placental function in trophoblast ...2015 - Pregnancy - PreeclampsiaAim: This study aimed to investigate the effects of three different antioxidants, namely vitamin C, vitamin E, and molecular hydrogen, on cytotrophoblasts in vitro. Methods: Two trophoblast cell lines, JAR and JEG-3, were exposed to different ..."
Pregnancy,
Premature Ovarian Failure,
Pressure Ulcer,"Hydrogen water intake via tube-feeding for patients with pressure ulcer and its reconstructive ...2013 - Skin - Wound HealingBackground: Pressure ulcer (PU) is common in immobile elderly patients, and there are some research works to investigate a preventive and curative method, but not to find sufficient effectiveness. The aim of this study is to clarify the clinical ..."
Preterm Birth,
Psoriasis,
Psoriasis-Associated Arthritis,
Retinal Injury,"The clinical research on the effect of hydrogen-rich water on primary retinitis pigmentosa2023 - Eye - Retinal InjuryObjective: To investigate the feasibility and effectiveness of hydrogen in the treatment of retinitis pigmentosa (RP) patients through the drinking of hydrogen-rich water (HRW). Methods: RP patients clinically diagnosed in our hospital were selected ...

Sirt3 mediates the protective effect of hydrogen in inhibiting ROS-induced retinal senescence2019 - Eye - Retinal InjuryHydrogen possesses antioxidative effects and cures numerous types of ophthalmopathy, but the mechanism of hydrogen on ROS-induced retinal senescence remains elusive. In this study, retinal morphology revealed that hydrogen reduced the number and size ...

Neuroprotective effects of saturated hydrogen water on retinal ganglion cells in rat optic nerve ...2014 - Eye - Retinal InjuryObjective: To investigate the protective effect of saturated hydrogen water on the retinal ganglion cells (RGC) of the rat optic nerve crush model. Design: Experimental study. Participants: Eighteen healthy adult male SD rats. Methods: Eighteen SD ...

Protection of the retina by rapid diffusion of hydrogen: administration of hydrogen-loaded eye drops ...2010 - Eye - Retinal InjuryPurpose: Retinal ischemia-reperfusion (I/R) injury by transient elevation of intraocular pressure (IOP) is known to induce neuronal damage through the generation of reactive oxygen species. Study results have indicated that molecular hydrogen (H(2)) ..."
Retinal Vein Occlusion,Protective effects of hydrogen gas in a rat model of branch retinal vein occlusion via decreasing ...2019 - Eye - Retinal InjuryBackground: Oxidative stress (OS) is an essential factor in the pathogenesis of branch retinal vein occlusion (BRVO). Studies have demonstrated the role of hydrogen gas in the regulation of OS. This study was designed to evaluate the efficacy of ...
Retinitis Pigmentosa,"The clinical research on the effect of hydrogen-rich water on primary retinitis pigmentosa2023 - Eye - Retinal InjuryObjective: To investigate the feasibility and effectiveness of hydrogen in the treatment of retinitis pigmentosa (RP) patients through the drinking of hydrogen-rich water (HRW). Methods: RP patients clinically diagnosed in our hospital were selected ...

The Comparative Efficiency of Intraperitoneal and Intravitreous Injection of Hydrogen Rich Saline ...2017 - Eye - Retinal InjuryRetinitis pigmentosa (RP) comprises a heterogeneous group of inherited retinal diseases leading to blindness. The present study explored the protective effects of hydrogen rich saline (HRS) against the photoreceptor degeneration in the ..."
Rhabdomyolysis,"Inhalation of 4% and 67% hydrogen ameliorates oxidative stress, inflammation, apoptosis, and ...2023 - Kidney - Acute Kidney InjuryAcute kidney injury (AKI) is the major complication of rhabdomyolysis (RM) clinically, which is usually mimicked by glycerol injection in basic research. Oxidative stress, inflammatory response and apoptosis are recognized to play important roles in ...

Pretreatment with hydrogen-rich saline reduces the damage caused by glycerol-induced rhabdomyolysis ...2014 - Kidney - Acute Kidney InjuryBackground: Rhabdomyolysis is a leading cause of acute kidney injury. The pathophysiological process involves oxidative stress and inflammation. Hydrogen-rich saline (HRS) is an antioxidant and anti-inflammatory. This study explored the protective ..."
Rheumatoid Arthritis,"Molecular hydrogen decelerates rheumatoid arthritis progression through inhibition of oxidative ...2016 - Bone - Rheumatoid ArthritisRheumatoid arthritis (RA) is a chronic inflammatory disease which results in progressive destruction of the joint. In this study, we examined if the hydrogen could inhibit inflammation in a mouse model of collagen-induced arthritis (CIA) via ...

Therapeutic efficacy of infused molecular hydrogen in saline on rheumatoid arthritis: a randomized, ...2014 - Bone - Rheumatoid ArthritisThe aim of this study was to demonstrate the safety and efficacy of H2-saline infusion for treatment of rheumatoid arthritis (RA). We conducted a randomized, double-blind, placebo-controlled investigation of the infusion of 1 ppm H2-dissolved saline ..."
Rhinitis,"The Beneficial Effects of Hydrogen-Rich Saline Irrigation on Chronic Rhinitis: A Randomized, ...2022 - Nose - RhinitisPurpose: Chronic rhinitis (CR) is a common chronic inflammation of the nasal mucosa. Nasal saline irrigation has been demonstrated to be an effective treatment for CR. In this study, we investigated the beneficial effects of hydrogen-rich saline ...

Clinical study of hydrogen-rich saline in the treatment of moderate to severe allergic rhinitis2018 - Nose - RhinitisObjective:To investigate the effectiveness and safety of nasal lavage with hydrogen-rich saline in the treatment of moderate to severe allergic rhinitis.Method:Twenty patients with moderate to severe persistent allergic rhinitis were treated with ...

Changes in IL-4 and IL-13 expression in allergic-rhinitis treated with hydrogen-rich saline in ...2017 - Nose - RhinitisBackground: Medical gas hydrogen (H2) has a special role in airway inflammation; however, the effect of H2 on allergic rhinitis (AR) remains unclear. This study explored the possible roles of H2 on the pathogenesis of AR and observed the influences ..."
Rhinosinusitis,"Electrolyzed acid water nasal irrigation after functional endoscopic sinus surgery2014 - Nose - RhinosinusitisElectrolyzed acid water (EAW) has been recognized to have strong bactericidal activity, and the feasibility and safety of EAW irrigation in body cavities has been reported in the literature. This study was conducted to evaluate the effect of EAW ...

Antibacterial effect of electrolysed acid water on the nasal discharge from patients with chronic ...2010 - Nose - RhinosinusitisThis study was conducted to determine whether electrolysed acid water (EAW) increased the antibacterial effect of irrigating solution used in the management of chronic rhinosinusitis (CRS). One hundred CRS patients were recruited from April 2008 to ..."
Seizure,
Sensorineural Hearing Loss,
Sepsis,"APOA2: New Target for Molecular Hydrogen Therapy in Sepsis-Related Lung Injury Based on Proteomic ...2023 - Lung - SepsisTarget biomarkers for H2 at both the protein and genome levels are still unclear. In this study, quantitative proteomics acquired from a mouse model were first analyzed. At the same time, functional pathway analysis helped identify functional ..."
Shingles,
Shock,"Hyperoxygenated hydrogen-rich solution suppresses shock- and resuscitation-induced liver injury2017 - Liver - ShockBackground: It is not known whether simultaneous delivery of hydrogen and oxygen can reduce injury caused by hemorrhagic shock and resuscitation (HSR). This study investigated the therapeutic potential of hyperoxygenated hydrogen-rich solution ...

Hydrogen-rich saline resuscitation alleviates inflammation induced by severe burn with delayed ...2015 - Whole Body - ShockSevere burns with delayed resuscitation are associated with high morbidity which is attributed to ischemia–reperfusion injury. This study was undertaken to investigate the effect of hydrogen-rich saline known as a significant selective antioxidant ...

Protective effects of hydrogen-rich saline in uncontrolled hemorrhagic shock2014 - Whole Body - ShockHydrogen is considered to be a novel antioxidant as it inhibits inflammation, removes oxygen-derived free radicals and reduces oxidative damage. This study investigated the effects of hydrogen-rich saline on plasma interleukin-6 (IL-6), tumor ..."
Sleep Apnea,"Hydrogen gas reduces chronic intermittent hypoxia-induced hypertension by inhibiting sympathetic ...2019 - Whole Body - Sleep ApneaMolecular hydrogen is reported to be used medically to ameliorate various systemic pathological conditions. This study aimed to investigate the effect of hydrogen (H2 ) gas on hypertension induced by intermittent hypoxia in rats. The adult rats were ...

Hydrogen Gas Alleviates Chronic Intermittent Hypoxia-Induced Renal Injury through Reducing Iron ...2019 - Kidney - Sleep ApneaIron-induced oxidative stress has been found to be a central player in the pathogenesis of kidney injury. Recent studies have indicated H2 can be used as a novel antioxidant to protect cells. The present study was designed to investigate the ...

Hydrogen gas attenuates embryonic gene expression and prevents left ventricular remodeling induced ...2014 - Heart - Sleep ApneaThe prevalence of sleep apnea is much higher in patients with heart failure, and intermittent hypoxia (IH) relevant to sleep apnea might induce left ventricular (LV) remodeling. The aim of this study was to investigate the effect of repetitive ..."
Sleep Deprivation,"Hydrogen-rich water and caffeine for alertness and brain metabolism in sleep-deprived habitual ...2021 - Brain - Sleep DeprivationThe main aim of this randomized-controlled cross-over interventional trial was to assess the acute effects of taking a single dose of hydrogen-rich water (HRW), and compare it with caffeine, HRW plus caffeine, and control water, for alertness, brain ...

Hydrogen vs. Caffeine for Improved Alertness in Sleep-Deprived Humans2020 - Brain - Sleep DeprivationMolecular hydrogen (H2) has been suggested as an agent capable of exerting neuromodulating effects; yet, its potential to affect brain circuits linked to alertness remains poorly examined. In this randomized controlled cross-over pilot trial, we ..."
Spinal Cord Injury,"Hydrogen-rich saline attenuates spinal cord hemisection-induced testicular injury in rats2017 - Testes - Spinal Cord InjuryTo study how hydrogen-rich saline (HS) promotes the recovery of testicular biological function in a hemi-sectioned spinal cord injury (hSCI) rat model, a right hemisection was performed at the T11-T12 of the spinal cord in Wistar rats. Animals were ...

Hydrogen-Rich Saline Protects Against Spinal Cord Injury in Rats2010 - Spine - Spinal Cord InjuryIn the present study, we examined the mechanisms of hydrogen-rich saline, a reported therapeutic antioxidant, in the treatment of acute spinal cord contusion injury. Male Sprague-Dawley rats were used to produce a standardized model of contuses ..."
Sprain,
Status Epilepticus,
Stress Ulcer,
Stroke,"Hydrogen‑rich saline promotes neuronal recovery in mice with cerebral ischemia through the ...2023 - Brain - StrokeThis study explored the protective effect and mechanism of hydrogen‑rich saline (HRS) on the neurological function of mice with cerebral ischemia. Effects of HRS on neurological function in mice with cerebral ischemia were evaluated by neurological ...

Protective effects of hydrogen-rich saline in a rat model of permanent focal cerebral ischemia via ...2012 - Brain - StrokeHydrogen gas (H(2)) as a new medical gas exerts organ-protective effects through regulating oxidative stress, inflammation and apoptosis. In contrast to H(2), hydrogen-rich saline (HS) may be more suitable for clinical application. The present study ...

Hydrogen saline offers neuroprotection by reducing oxidative stress in a focal cerebral ...2011 - Brain - StrokeHydrogen gas is neuroprotective in cerebral ischemia animal models. In this study, we tested the neuroprotective effects of hydrogen saline, which is safe and easy to use clinically, in a rat model of middle cerebral artery occlusion (MCAO). ...

Hydrogen Gas Reduced Acute Hyperglycemia-Enhanced Hemorrhagic Transformation In A Focal Ischemia Rat ...2011 - Brain - StrokeHyperglycemia is one of the major factors for hemorrhagic transformation after ischemic stroke. In this study, we tested the effect of hydrogen gas on hemorrhagic transformation in a rat focal cerebral ischemia model. Sprague-Dawley rats (n=72) were ...

Protective effect of saturated hydrogen saline against cerebral ischemia-reperfusion injury in rats2010 - Brain - StrokeObjective To study the protective effect of saturated hydrogen saline against cerebral ischemia-reperfusion injury and the related mechanism. Methods Rat middle cerebral artery occlusion (MCAO) models were established by thread ligation of the middle ..."
Testicular Injury,"Inhaled hydrogen gas therapy for prevention of testicular ischemia/reperfusion injury in rats2012 - Testes - Testicular InjuryThis study evaluated whether 2% hydrogen (H(2)) gas therapy protects against testicular ischemia/reperfusion injury which results in increased formation of reactive oxygen species and/or reactive nitrogen species, leading to testicular apoptosis and ..."
Tracheal Stenosis,
Transplantation/Graft Injury,"Inflation using hydrogen improves donor lung quality by regulating mitochondrial function during ...2023 - Lung - Surgery/TransplantationBackground: Mitochondrial dysfunction results in poor organ quality, negatively affecting the outcomes of lung transplantation. Whether hydrogen benefits mitochondrial function in cold-preserved donors remain unclear. The present study assessed the ...

Lung Inflation With Hydrogen During the Cold Ischemia Phase Alleviates Lung Ischemia-Reperfusion ...2021 - Lung - Surgery/TransplantationBackground: Lung inflation with hydrogen is an effective method to protect donor lungs from lung ischemia-reperfusion injury (IRI). This study aimed to examine the effect of lung inflation with 3% hydrogen during the cold ischemia phase on pyroptosis ...

Hydrogen-containing preservation solution relieves oxidative stress and inflammatory damage of rat ...2010 - Heart - Surgery/TransplantationObjective: To study the effect of hydrogen-containing preservation solution against oxidative stress and inflammatory damage of rat donor heart. Methods: Thirty-two SD rats were evenly randomized into four groups(n = 8) : control group (the hearts ...

Amelioration of rat cardiac cold ischemia/reperfusion injury with inhaled hydrogen or carbon ...2010 - Heart - Surgery/TransplantationRecent advances in novel medical gases, including hydrogen and carbon monoxide (CO), have demonstrated significant opportunities for therapeutic use. This study was designed to evaluate the effects of inhaled hydrogen or CO, or both, on cold ..."
Traumatic Brain Injury,"Hydrogen-rich water attenuates brain damage and inflammation after traumatic brain injury in rats2015 - Brain - Traumatic Brain InjuryInflammation and oxidative stress are the two major causes of apoptosis after traumatic brain injury (TBI). Most previous studies of the neuroprotective effects of hydrogen-rich water on TBI primarily focused on antioxidant effects. The present study ...

Protective effects of hydrogen-rich saline in a rat model of traumatic brain injury via reducing ...2012 - Brain - Traumatic Brain InjuryBackground: Hydrogen gas (H(2)) has been considered as a novel antioxidant to selectively reduce the toxic reactive oxygen species (ROS) such as hydroxyl radical (•OH) without affecting the other signal ROS. Our recent study shows that H(2) ..."
Ulcer,
Ulcerative Colitis,"Hydrogen-rich water partially alleviate inflammation, oxidative stress and intestinal flora ...2021 - Intestine - Inflammatory Bowel DiseasePurpose: Oxidative damage and intestinal flora dysbiosis play important roles in the progression of chronic ulcerative colitis (UC). This study explored the effect and mechanism of molecular hydrogen in chronic UC. Materials and methods: Male C57BL/6 ..."
Unstable Angina,
Upper Respiratory Tract Infection,
Ureteral Obstruction,"Hydrogen-rich saline ameliorates renal injury induced by unilateral ureteral obstruction in rats2013 - Kidney - Acute Kidney InjuryHydrogen has been demonstrated to have effective protection against tissue injuries caused by oxidative stress, inflammation, and apoptosis. This study investigated the efficacy of hydrogen-rich saline (HS) on the prevention of renal injury induced ..."
Uveal Injury,Effects of Post-Treatment Hydrogen Gas Inhalation on Uveitis Induced by Endotoxin in Rats2018 - Eye - Uveal InjuryBACKGROUND Molecular hydrogen (H2) has been widely reported to have benefiicial effects in diverse animal models and human disease through reduction of oxidative stress and inflammation. The aim of this study was to investigate whether hydrogen gas ...
Vascular Dysfunction,"Hydrogen-rich medium suppresses the generation of reactive oxygen species, elevates the Bcl-2/Bax ...2013 - Heart - DiabetesThe purpose of the present study was to determine whether using hydrogen-rich medium (HRM) to increase hydrogen levels in endothelial cells (ECs) protects ECs from apoptosis induced by advanced glycation end products (AGEs). The thoracic aorta was ..."
Vasculitis,
Ventilator-Induced Lung Injury,
Vitiligo,"Molecular Hydrogen Protects Human Melanocytes from Oxidative Stress by Activating Nrf2 Signaling2020 - Skin - VitiligoOxidative stress is proven to be critical for the initiation and progression of vitiligo. Molecular hydrogen (H2) possesses potent antioxidant activity and has been shown to protect against various oxidative stress-related diseases. In this study, we ..."
