Topic,Studies
Intraocular Pressure,EFFECT OF ACUTE HYDROGEN-RICH WATER INTAKE ON INTRAOCULAR PRESSURE IN HEALTHY SUBJECTS2023 - Eye - Intraocular PressurePurposes: The primary aim of the study was to assess the response of intraocular pressure (IOP) to the acute ingestion of hydrogen-rich water (HRW) compared to hydrogen-free water (placebo) in healthy subjects. The effect of HRW intake on central ...
Iron Overload,"Hydrogen-Rich Saline Attenuates Chronic Allodynia after Bone Fractures via Reducing Spinal ...2022 - Spine - Neuropathic PainPurpose: Neuroinflammation often initiates iron overload in the pathogenesis of neurological disorders. Chemokine-driven neuroinflammation is required for central sensitization and chronic allodynia following fractures, but specific molecular ..."
Irritable Bowel Syndrome,"Daily ingestion of alkaline electrolyzed water containing hydrogen influences human health, ...2019 - Intestine - Irritable Bowel SyndromeIn Japan, alkaline electrolyzed water (AEW) apparatus have been approved as a medical device. And for the patients with gastrointestinal symptoms, drinking AEW has been found to be effective in relieving gastrointestinal symptoms. But some users of ...

Effects of Alkaline-Reduced Drinking Water on Irritable Bowel Syndrome with Diarrhea: A Randomized ...2018 - Intestine - Irritable Bowel SyndromeObjectives: The purpose of this study was to investigate whether the ingestion of alkaline-reduced water (ARW) is helpful in improving the symptoms of diarrhea-predominant irritable bowel syndrome (IBS). Methods: Twenty-seven patients (male, 25.9%; ...

The effects of methane and hydrogen gases produced by enteric bacteria on ileal motility and colonic ...2011 - Intestine - Irritable Bowel SyndromeBackground: Gases produced by intestinal flora may modulate intestinal motor function in healthy individuals as well as those with functional bowel disease. Methane, produced by enteric bacteria in the human gut, is associated with slowed intestinal ..."
Ischemia-Reperfusion Injury,"Hydrogen‑rich saline promotes neuronal recovery in mice with cerebral ischemia through the ...2023 - Brain - StrokeThis study explored the protective effect and mechanism of hydrogen‑rich saline (HRS) on the neurological function of mice with cerebral ischemia. Effects of HRS on neurological function in mice with cerebral ischemia were evaluated by neurological ...

Inhibition of retinal ischemia-reperfusion injury in rats by inhalation of low-concentration ...2023 - Eye - Retinal InjuryPurpose: To investigate the inhibitory effect of hydrogen gas inhalation on retinal ischemia reperfusion (I/R) injury using a rat model. Methods: Six-week-old male Sprague-Dawley rats were used. A 27G needle connected by a tube to a saline bottle ...

Hydrogen-rich saline alleviates cardiomyocyte apoptosis by reducing expression of calpain1 via ...2023 - Heart - Heart FailureAims: Molecular hydrogen has been exhibited a protective function in heart diseases. Our previous study demonstrated that hydrogen-rich saline (HRS) could scavenge free radicals selectively and alleviate the inflammatory response in the myocardial ...

Molecular hydrogen: prospective treatment strategy of kidney damage after cardiac surgery2023 - Kidney - Surgery/TransplantationCardiac surgery-associated acute kidney injury (CS-AKI) is a common postoperative complication, mostly due increasing oxidative stress. Recently, molecular hydrogen (H2 gas), has also been applied to cardiac surgery due to its ability to reduce ...

Hyperbaric oxygen combined with hydrogen-rich saline protects against acute lung injury2023 - Lung - Lung InjuryBackground: This study sought to investigate therapeutic effects of hydrogen-rich saline (HRS) combined with hyperbaric oxygen (HBO2) in an experimental rat model of acute lung injury (ALI). Method: Forty male Sprague-Dawley rats were randomly ...

The Role of LincRNA-EPS/Sirt1/Autophagy Pathway in the Neuroprotection Process by Hydrogen against ...2023 - Brain - StrokeCerebral ischemia/reperfusion (CI/R) injury causes high disability and mortality. Hydrogen (H2) enhances tolerance to an announced ischemic event; however, the therapeutic targets for the effective treatment of CI/R injury remain uncertain. Long ...

Combination of Cold Storage in a Heavy Water-Containing Solution and Post-Reperfusion Hydrogen Gas ...2023 - Liver - Surgery/TransplantationWe previously reported the efficacy of cold storage (CS) using a heavy water-containing solution (Dsol) and post-reperfusion hydrogen gas treatment separately. This study aimed to clarify the combined effects of these treatments. Rat livers were ...

Hypothermic Machine Perfusion with Hydrogen Gas Reduces Focal Injury in Rat Livers but Fails to ...2023 - Liver - Surgery/TransplantationBackground: We have previously reported the efficacy of post-reperfusion H2 gas treatment in cold storage (CS) and subsequent reperfusion of the rat liver. The present study aimed to evaluate the effect of H2 gas treatment during hypothermic machine ...

Efficacy of inhaled hydrogen on neurological outcome following brain ischaemia during post-cardiac ...2023 - Brain - Cardiac ArrestBackground: Inhaled molecular hydrogen gas (H2) has been shown to improve outcomes in animal models of cardiac arrest (CA). H2 inhalation is safe and feasible in patients after CA. We investigated whether inhaled H2 would improve outcomes after ...

Hydrogen gas and preservation of intestinal stem cells in mesenteric ischemia and reperfusion2022 - Intestine - Surgery/TransplantationBackground: Patients with mesenteric ischemia frequently suffer from bowel necrosis even after revascularization. Hydrogen gas has showed promising effects for ischemia-reperfusion injury by reducing reactive oxygen species in various animal and ..."
Kawasaki Disease,"Hydrogen Gas Inhalation Regressed Coronary Artery Aneurysm in Kawasaki Disease-Case Report and ...2022 - Heart - VasculitisKawasaki disease (KD) is a systemic vasculitis that primarily affects children under the age of 5 years old and is among the most common acquired heart disease in developed countries, particularly in Asia. No effective treatment is currently ..."
Keratin Plugs,"Electrolytically generated hydrogen warm water cleanses the keratin-plug-clogged hair-pores and ...2018 - Skin - Cosmetic Skin IssuesBiomedical properties of hydrogen water have been extensively investigated, but the effect of hydrogen on good healthy subjects remains unclear. This study was designed to explore the hygiene improvement by electrolytically generated hydrogen warm ..."
Kidney Failure,"THE USE OF MOLECULAR HYDROGEN IN CORRECTION OF NO-REFLOW SYNDROME IN THE POLYURIC STAGE OF SUBLIMATE ...2021 - Kidney - Kidney FailureObjective - to find out the possibility of using molecular hydrogen in the correction of no-reflow syndrome in the polyuric stage of acute kidney injury 72 hours after the administration of mercuric chloride in rats on a hyposodium diet. The ...

Efficacy of a Si-based agent against developing renal failure in a rat remnant kidney model2020 - Kidney - Kidney FailureChronic renal failure is exacerbated by oxidative stress, and this condition is difficult to treat in advanced stages. Because of the lack of effective treatments, the disease is a global public health concern. We developed a Si-based agent that ...

Ionized Alkaline Water: New Strategy for Management of Metabolic Acidosis in Experimental Animals2009 - Kidney - Kidney FailureMetabolic acidosis can occur as a result of either the accumulation of endogenous acids or loss of bicarbonate from the gastrointestinal tract or the kidney, which represent common causes of metabolic acidosis. The appropriate treatment of acute ..."
Kidney Stones,"Oral Hydrogen-Rich Water Alleviates Oxalate-Induced Kidney Injury by Suppressing Oxidative Stress, ...2021 - Kidney - Kidney StonesObjective: To explore the theraputic effects and potential mechanisms of hydrogen-rich water (HRW) against oxalate-induced kidney injury. Methods: The mouse model of Calcium oxalate (CaOx) crystallization was established by feeding a soluble oxalate ...

UPLC/MS-Based Metabolomics Investigation of the Protective Effect of Hydrogen Gas Inhalation on Mice ...2018 - Kidney - Kidney StonesHydrogen has a significant protective effect on calcium oxalate-induced renal injury, but its effect on metabolic profiles is unknown. This study showed the effects of hydrogen on serum and urine metabolites in a renal injury model. Ultra-HPLC ...

Inhalation of hydrogen gas ameliorates glyoxylate-induced calcium oxalate deposition and renal ...2015 - Kidney - Kidney StonesThe aim of this study is to evaluate the protective effect and underlying mechanism of hydrogen gas (H2) to glyoxylate induced renal calcium oxalate (CaOx) crystal deposition in mice. In present work, rodent renal CaOx crystal deposition model was ..."
Liver Disease,"Alleviating effects of hydrogen on hyperhomocysteinemia and fatty liver induced by high-methionine ...2023 - Liver - Liver DiseaseObjective: To investigate the alleviating effect of hydrogen (H2) on homocysteine (Hcy) levels and non alcoholic fatty liver in rats with hyperhomocysteinemia (HHcy). Methods: After one week of adaptive feeding, Wistar rats were randomly divided into ...

Hydrogen inhalation ameliorates hepatic inflammation and modulates gut microbiota in rats with ...2023 - Liver - Liver DiseaseNonalcoholic fatty liver disease (NAFLD) is a multisystem metabolic disease associated with gut microflora dysbiosis and inflammation. Hydrogen (H2) is a novel and effective antiinflammatory agent. The present study was aimed to clarify the effects ...

A randomized, placebo-controlled clinical trial of hydrogen/oxygen inhalation for non-alcoholic ...2022 - Liver - Liver DiseaseNon-alcoholic fatty liver disease (NAFLD) is the most common chronic liver disease worldwide with increasing incidence consistent with obesity, type 2 diabetes and cardiovascular diseases. No approved medication was currently available for NAFLD ...

Electrolyzed Hydrogen Water Protects against Ethanol-Induced Cytotoxicity by Regulating Aldehyde ...2021 - Liver - Liver DiseaseExcessive alcohol consumption can cause multi-systemic diseases. Among them, alcoholic liver disease is the most frequent and serious disease. Electrolytic hydrogen water (EHW) is produced at the cathode during electrolysis of water and contains a ...

Hydrogen gas alleviates acute alcohol-induced liver injury by inhibiting JNK activation2021 - Liver - Liver DiseaseBinge alcohol drinking is fast becoming a global health concern, with the liver among the first organ involved and the one afflicted with the greatest degree of injury. Oxidative stress, alterations in hepatic metabolism, immunity and inflammation ...

Hydrogen inhalation alleviates nonalcoholic fatty liver disease in metabolic syndrome rats2020 - Liver - Liver DiseaseHydrogen exhibits therapeutic and preventive effects against various diseases. The present study investigated the potential protective effect and dose‑dependent manner of hydrogen inhalation on high fat and fructose diet (HFFD)‑induced ...

Effects of hydrogen-rich saline on liver of severely scalded rats with delayed resuscitation2014 - Liver - Liver DiseaseTo explore the effects of hydrogen-rich saline (HS) on liver of severely scalded rats with delayed resuscitation. Twenty-four SD rats were inflicted with 40% TBSA full-thickness scald using a temperature-controlled scalding apparatus. The injured ...

Concomitant inhibition of oxidative stress and angiogenesis by chronic hydrogen‐rich saline and ...2014 - Liver - Liver DiseaseAimIn cirrhosis, increased oxidative stress leads to systemic and splanchnic hyperdynamic circulation, splanchnic angiogenesis, portosystemic collaterals formation, hepatic endothelial dysfunction, increased intrahepatic resistance, and the ...

Effects of oral intake of hydrogen water on liver fibrogenesis in mice2014 - Liver - Liver DiseaseAim: Liver fibrosis is the universal consequence of chronic liver diseases. Sustained hepatocyte injury initiates an inflammatory response, thereby activating hepatic stellate cells, the principal fibrogenic cells in the liver. Reactive oxygen ...

Hepatoprotective effect of electrolyzed reduced water against carbon tetrachloride-induced liver ...2009 - Liver - Liver DiseaseThe study investigated the protective effect of electrolyzed reduced water (ERW) against carbon tetrachloride (CCl(4))-induced liver damage. Male ICR mice were randomly divided into control, CCl(4), CCl(4)+silymarin, and CCl(4)+ERW groups. ..."
Liver Failure,"The Protective Role of Hydrogen -Rich Saline in Experimental Liver Injury in Mice2011 - Liver - Liver FailureReactive oxygen species (ROS) are considered to play a prominent causative role in the development of various hepatic disorders. Antioxidants have been effectively demonstrated to protect against hepatic damage. Hydrogen (H(2)), a new antioxidant, ..."
Liver Injury,"A Preliminary Study on the Effect of Hydrogen Gas on Alleviating Early CCl 4-Induced Chronic Liver ...2021 - Liver - Liver InjuryAs a small-molecule reductant substance, hydrogen gas has an obvious antioxidant function. It can selectively neutralize hydroxyl radicals (•OH) and peroxynitrite (ONOO•) in cells, reducing oxidative stress damage. The purpose of this study was ...

The Preventive Role of Hydrogen-Rich Water in Thioacetamide-Induced Cholangiofibrosis in Rat ...2021 - Liver - Liver InjuryBackground: Cholangiofibrosis is a controversial intrahepatic cholangial lesion that precedes the development of cholangiocarcinoma. Here, we demonstrate that molecular hydrogen (H2) can be used to effectively prevent cholangiofibrosis. Methods: The ...

Hydrogen-Rich Saline Attenuates Acute Hepatic Injury in Acute Necrotizing Pancreatitis by Inhibiting ...2016 - Liver - Liver InjuryObjectives: The objective of this study was to study the role of hydrogen-rich saline (HRS) on acute hepatic injury (AHI) in acute necrotizing pancreatitis (ANP). Methods: Rats were used for this study and an ANP model was induced by injecting 5% ...

Hydrogen-rich water protects against acetaminophen-induced hepatotoxicity in mice2015 - Liver - Liver InjuryAim: To investigate the hepatoprotective effects and mechanisms of hydrogen-rich water (HRW) in acetaminophen (APAP)-induced liver injury in mice. Methods: Male mice were randomly divided into the following four groups: normal saline (NS) control ..."
Lung Contusion,Hydrogen inhalation attenuates lung contusion after blunt chest trauma in mice2023 - Lung - Blunt Chest TraumaBackground: Lung contusion caused by blunt chest trauma evokes a severe inflammatory reaction in the pulmonary parenchyma that may be associated with acute respiratory distress syndrome. Although hydrogen gas has antioxidant and anti-inflammatory ...
Lung Injury,"Hyperbaric oxygen combined with hydrogen-rich saline protects against acute lung injury2023 - Lung - Lung InjuryBackground: This study sought to investigate therapeutic effects of hydrogen-rich saline (HRS) combined with hyperbaric oxygen (HBO2) in an experimental rat model of acute lung injury (ALI). Method: Forty male Sprague-Dawley rats were randomly ...

Hydrogen alleviates acute lung injury induced by limb ischaemia/reperfusion in mice2021 - Lung - Lung InjuryAims: Limb ischaemia/reperfusion (LIR) occurs in various clinical conditions including critical limb ischaemia, abdominal aortic aneurysm, and traumatic arterial injury. Reperfusion of the acutely ischemic limb can lead to a systemic inflammation ...

Hydrogen Attenuates Endotoxin-Induced Lung Injury by Activating Thioredoxin 1 and Decreasing Tissue ...2021 - Lung - Lung InjuryEndotoxin-induced lung injury is one of the major causes of death induced by endotoxemia, however, few effective therapeutic options exist. Hydrogen inhalation has recently been shown to be an effective treatment for inflammatory lung injury, but the ...

Effects of hydrogen on the lung damage of mice at early stage of severe burn2017 - Lung - Lung InjuryObjective: To investigate the effects of hydrogen on the lung damage of mice at early stage of severe burn. Methods: One hundred and sixty ICR mice were divided into sham injury, hydrogen, pure burn, and burn+ hydrogen groups according to the random ...

Protective effect of hydrogen-saturated saline on acute lung injury induced by oleic acid in rats2017 - Lung - Lung InjuryBackground The purpose of the study is to investigate the role and mechanisms of hydrogen-saturated saline (HSS) in the acute lung injury (ALI) induced by oleic acid (OA) in rats. Methods Rats were treated with OA (0.1 mL/kg) to induce ALI and then ...

Protective Effects of Hydrogen-Rich Saline Against Lipopolysaccharide-Induced Alveolar ...2017 - Lung - Lung InjuryBackground Fibrotic change is one of the important reasons for the poor prognosis of patients with acute respiratory distress syndrome (ARDS). The present study investigated the effects of hydrogen-rich saline, a selective hydroxyl radical scavenger, ...

Hydrogen Gas Inhalation Attenuates Seawater Instillation-Induced Acute Lung Injury via the Nrf2 ...2016 - Lung - Lung InjurySeawater instillation-induced acute lung injury involves oxidative stress and apoptosis. Although hydrogen gas inhalation is reportedly protective in multiple types of lung injury, the effect of hydrogen gas inhalation on seawater ...

Hydrogen-rich saline protects against acute lung injury induced by extensive burn in rat model2011 - Lung - Lung InjuryHydrogen has been reported to selectively quench detrimental reactive oxygen species, particularly hydroxyl radical, and to prevent myocardial or hepatic ischemia/reperfusion injury in multiple models. The aim of this study is to investigate whether ...

Hydrogen-rich saline reduces lung injury induced by intestinal ischemia/reperfusion in rats2009 - Lung - Lung InjuryHydrogen has been reported to selectively reduce the hydroxyl radical, the most cytotoxic of reactive oxygen species. In this study we investigated the effects of hydrogen-rich saline on the prevention of lung injury induced by intestinal ..."
Macular Degeneration,The Anti-Inflammatory Effect of Hydrogen Gas Inhalation and Its Influence on Laser-Induced Choroidal ...2021 - Eye - AgingBackground: Age-related macular degeneration (AMD) is a leading cause of blindness in the elderly. Choroidal neovascularization (CNV) is the major pathologic feature of neovascular AMD. Oxidative damages and the ensuing chronic inflammation are ...
Mastitis,"Hydrogen helps to ameliorate Staphylococcus aureus-induced mastitis in mice2022 - Breast - MastitisMany studies have shown that hydrogen has anti-inflammatory and anti-oxidant effects. Because of its ability to quickly pass through cell membranes, hydrogen has become a hot spot in the research of inflammatory diseases. Vitamin E glycerin (VEG) and ..."
Maternal Immune Activation,"Social Communication of Maternal Immune Activation-Affected Offspring Is Improved by Si-Based ...2022 - Pregnancy - NeuroprotectionMaternal immune activation (MIA) is triggered by infection or autoimmune predisposition during pregnancy, and cytokines produced by MIA are transmitted through the placenta to the fetal brain, implicating at the onset risks and vulnerability for ...

Administration of molecular hydrogen during pregnancy improves behavioral abnormalities of offspring ...2018 - Pregnancy - NeuroprotectionThe aim of the present study was to investigate long-term outcomes of the offspring in a lipopolysaccharide (LPS)-induced maternal immune activation (MIA) model and the effect of maternal molecular hydrogen (H2) administration. We have previously ..."
Metabolic Acidosis,"Hydrogen-rich water affected blood alkalinity in physically active men2014 - Whole Body - ExcercisePossible appliance of effective and safe alkalizing agent in the treatment of metabolic acidosis could be of particular interest to humans experiencing an increase in plasma acidity, such as exercise-induced acidosis. In the present study we tested ...

Ionized Alkaline Water: New Strategy for Management of Metabolic Acidosis in Experimental Animals2009 - Kidney - Kidney FailureMetabolic acidosis can occur as a result of either the accumulation of endogenous acids or loss of bicarbonate from the gastrointestinal tract or the kidney, which represent common causes of metabolic acidosis. The appropriate treatment of acute ..."
Metabolic Syndrome,"Evaluation of the safety and potential lipid-lowering effects of oral hydrogen-rich coral calcium ...2023 - Whole Body - Metabolic SyndromeBackground: Metabolic syndrome is characterized by a cluster-like occurrence of conditions such as hypertension, hyperglycaemia, elevated low-density lipoprotein (LDL) cholesterol or triglycerides (TG) and high visceral fat. Metabolic syndrome is ...

Hydrogen-Rich Water Ameliorates Metabolic Disorder via Modifying Gut Microbiota in Impaired Fasting ...2023 - Intestine - Metabolic SyndromeObjective: Molecular hydrogen (H2) exhibits antioxidant, anti-inflammatory and anti-apoptotic effects, and has shown benefits in glucose and lipid metabolism in certain animal metabolic disorder models. However, the potential benefits of H2 treatment ...

Colonic lactulose fermentation has no impact on glucagon-like peptide-1 and peptide-YY secretion in ...2021 - Intestine - Metabolic SyndromeContext: The colon houses most of our gut microbiota, which ferments indigestible carbohydrates. The products of fermentation have been proposed to influence the secretion of glucagon-like peptide-1 (GLP-1) and peptide YY (PYY) from the many ...

L-Arabinose Elicits Gut-Derived Hydrogen Production and Ameliorates Metabolic Syndrome in C57BL/6J ...2019 - Whole Body - Metabolic SyndromeObesity and metabolic syndrome (MS) associated with excess calorie intake has become a great public health concern worldwide. L-arabinose, a naturally occurring plant pentose, has a promising future as a novel food ingredient with benefits in MS; yet ...

Effects of alkaline-electrolyzed and hydrogen-rich water, in a high-fat-diet nonalcoholic fatty ...2018 - Liver - Metabolic SyndromeAIM To identify the effect of hydrogen-rich water (HRW) and electrolyzed-alkaline water (EAW) on high-fat-induced non-alcoholic fatty acid disease in mice. METHODS Mice were divided into four groups: (1) Regular diet (RD)/regular water (RW); (2) ...

Coral calcium hydride prevents hepatic steatosis in high fat diet-induced obese rats: A potent ...2016 - Liver - Metabolic SyndromeDiet-induced nonalcoholic fatty liver disease (NAFLD) is characterized by profound lipid accumulation and associated with an inflammatory response, oxidative stress and hepatic mitochondrial dysfunction. We previously demonstrated that some ...

Hydrogen-rich water decreases serum LDL-cholesterol levels and improves HDL function in patients ...2013 - Whole Body - Metabolic SyndromeWe have found hydrogen (dihydrogen; H2) has beneficial lipid-lowering effects in high-fat diet-fed Syrian golden hamsters. The objective of this study was to characterize the effects of H2-rich water (0.9-1.0 L/day) on the content, composition, and ...

Colonic Hydrogen Generated from Fructan Diffuses into the Abdominal Cavity and Reduces Adipose mRNA ...2013 - Whole Body - Metabolic SyndromeHydrogen (H2) protects against inflammation-induced oxidative stress. Nondigestible saccharides (NDSs) enhance colonic H2 production. We examined whether colonic H2 transfers to tissues in the abdominal cavity and whether it affects expression of ...

Effects of hydrogen-rich water on abnormalities in a SHR.Cg-Lepr cp /NDmcr rat – A metabolic ...2011 - Kidney - Metabolic SyndromeHydrogen (H2), a potent free radical scavenger, selectively reduces the hydroxyl radical, which is the most cytotoxic of the reactive oxygen species (ROS). An increase in oxygen free radicals induces oxidative stress, which is known to be involved in ...

Effectiveness of hydrogen rich water on antioxidant status of subjects with potential metabolic ...2010 - Whole Body - Metabolic SyndromeMetabolic syndrome is characterized by cardiometabolic risk factors that include obesity, insulin resistance, hypertension and dyslipidemia. Oxidative stress is known to play a major role in the pathogenesis of metabolic syndrome. The objective of ..."
Motor Deficit,Molecular hydrogen alleviates motor deficits and muscle degeneration in mdx mice2017 - Muscle - Muscular DystrophyObjective: Duchenne muscular dystrophy (DMD) is a devastating muscle disease caused by a mutation in DMD encoding dystrophin. Oxidative stress accounts for dystrophic muscle pathologies in DMD. We examined the effects of molecular hydrogen in mdx ...
Multiple Organ Dysfunction Syndrome,"Micromotor-Enabled Active Hydrogen and Tobramycin Delivery for Synergistic Sepsis Therapy2023 - Whole Body - SepsisSepsis is a highly heterogeneous syndrome normally characterized by bacterial infection and dysregulated systemic inflammatory response that leads to multiple organ failure and death. Single anti-inflammation or anti-infection treatment exhibits ...

Hydrogen alleviates cell damage and acute lung injury in sepsis via PINK1/Parkin-mediated mitophagy2021 - Lung - SepsisBackground: Multiple organ failure (MOF) is the main cause of early death in septic shock. Lungs are among the organs that are affected in MOF, resulting in acute lung injury. Inflammation is an important factor that causes immune cell dysfunction in ...

Itraq-Based Quantitative Proteomic Analysis of Lungs in Murine Polymicrobial Sepsis with Hydrogen ...2018 - Lung - SepsisSepsis-associated acute lung injury (ALI), which carries a high morbidity and mortality in patients, has no effective therapeutic strategies to date. Our group has already reported that hydrogen gas (H2) exerts a protective effect against sepsis in ...

Abstract PR087: Quantitative Itraq-Coupled Lc-Ms/Ms Proteomics Reveals the Mechanism of Hydrogen Gas ...2016 - Lung - SepsisNo abstract available

Protective effects of hydrogen-rich medium on lipopolysaccharide-induced monocytic adhesion and ...2015 - Endothelium - SepsisWe observed the effect of hydrogen-rich medium on lipopolysaccharide (LPS)-induced human umbilical vein endothelial cells (HUVECs), hyaline leukocyte conglutination, and permeability of the endothelium. Endotheliocytes were inoculated on 6-well ...

Hydrogen-Rich Medium Attenuated Lipopolysaccharide-Induced Monocyte-Endothelial Cell Adhesion and ...2015 - Endothelium - SepsisSepsis is the leading cause of death in critically ill patients. In recent years, molecular hydrogen, as an effective free radical scavenger, has been shown a selective antioxidant and anti-inflammatory effect, and it is beneficial in the treatment ...

Effects of hydrogen-rich saline treatment on polymicrobial sepsis2013 - Whole Body - SepsisBackground: Hydrogen has been reported to selectively reduce hydroxyl radicals and peroxynitrite anion in many pathologic processes. This study aimed to test the hypothesis that hydrogen-rich saline (HRS) may ameliorate organ dysfunction in a rat ...

Combination therapy with molecular hydrogen and hyperoxia in a murine model of polymicrobial sepsis2012 - Whole Body - SepsisSepsis is the most common cause of death in intensive care units. Some studies have found that hyperoxia may be beneficial to sepsis. However, the clinical use of hyperoxia is hindered by concerns that it could exacerbate organ injury by increasing ...

Protective effects of hydrogen gas on murine polymicrobial sepsis via reducing oxidative stress and ...2010 - Whole Body - SepsisDespite recent advances in antibiotic therapy and intensive care, sepsis is still considered to be the most common cause of death in intensive care units. Excessive production of reactive oxygen species plays an important role in the pathogenesis of ...

Hydrogen Gas Improves Survival Rate and Organ Damage in Zymosan-Induced Generalized Inflammation ...2010 - Whole Body - SepsisSepsis/multiple organ dysfunction syndrome is the leading cause of death in critically ill patients. Recently, it has been suggested that hydrogen gas (H2) exerts a therapeutic antioxidant activity by selectively reducing hydroxyl radical (•OH, the ..."
Multiple Sclerosis,"Hydrogen-Rich Saline Ameliorates Experimental Autoimmune Encephalomyelitis in C57BL/6 Mice Via the ...2018 - Brain - Multiple SclerosisMultiple sclerosis (MS) is a chronic and inflammatory disease of the central nervous system that is associated with demyelination, neurodegeneration, and sensitivity to oxidative stress. Hydrogen-rich saline (HRS) is efficacious in preventive and ...

Hydrogen-rich water improves neurological functional recovery in experimental autoimmune ...2016 - Brain - Multiple SclerosisMultiple sclerosis (MS) is a chronic autoimmune demyelinating disease of the central nervous system (CNS). The high costs, inconvenient administration, and side effects of current Food and Drug Administration (FDA)-approved drugs often lead to poor ..."
Muscular Dystrophy,"Molecular hydrogen alleviates motor deficits and muscle degeneration in mdx mice2017 - Muscle - Muscular DystrophyObjective: Duchenne muscular dystrophy (DMD) is a devastating muscle disease caused by a mutation in DMD encoding dystrophin. Oxidative stress accounts for dystrophic muscle pathologies in DMD. We examined the effects of molecular hydrogen in mdx ...

Open-label trial and randomized, double-blind, placebo-controlled, crossover trial of ...2011 - Muscle - Muscular DystrophyBackground: Molecular hydrogen has prominent effects on more than 30 animal models especially of oxidative stress-mediated diseases and inflammatory diseases. In addition, hydrogen effects on humans have been reported in diabetes mellitus type 2, ..."
Mycotoxicosis,"Morphological and molecular response of small intestine to lactulose and hydrogen-rich water in ...2019 - Intestine - Food PoisoningBackground Following the intake of Fusarium mycotoxin-contaminated feed, small intestines may be exposed to high levels of toxic substances that can potentially damage intestinal functions in livestock. It is well known that Fusarium mycotoxins will ...

Protective Role of Hydrogen Gas on Oxidative Damage and Apoptosis in Intestinal Porcine Epithelial ...2019 - Intestine - Food PoisoningTo explore the protective role of hydrogen gas (H2) on oxidative damage and apoptosis in intestinal porcine epithelial cells (IPEC-J2) induced by deoxynivalenol (DON), cells were assigned to four treatment groups, including control, 5 μM DON, ..."
Myocardial Necrosis,"Histopathological influence of alkaline ionized water on myocardial muscle of mother rats1999 - Heart - Cardiac DegenerationWe have reported that a marked necrosis and subsequent fibrosis of myocardium occurred among male rats 15 weeks old given alkaline ionized water (AKW) during gestation and suckling periods, and after weaning. In this study, it was examined whether ...

Degradation of Myocardiac Myosin and Creatine Kinase in Rats Given Alkaline Ionized Water1998 - Heart - Cardiac DegenerationRecently, the authors have shown that marked necrosis and fibrosis of myocardium were observed in rats given alkaline ionized water (AKW). To clarify the cause of myocardial lesions, the activities of myosin ATPase, actomyosin ATPase and creatine ...

INFLUENCE OF ALKALINE IONIZED WATER ON RAT ERYTHROCYTE HEXOKINASE ACTIVITY AND MYOCARDIUM1997 - Heart - Cardiac DegenerationAlkaline ionized water (AKW) produced by the electrolysis of tap water (TPW) was given to pregnant rats throughout gestation. AKW was subsequently given to infants as a test group until 15 weeks old to determine changes in body and organ weights, ..."
Necrotizing Enterocolitis,"Hydrogen Promotes the M1 Macrophage Conversion During the Polarization of Macrophages in Necrotizing ...2021 - Intestine - Intestinal InjuryBackground: Hydrogen is protective against intestinal injury in necrotizing enterocolitis (NEC), mainly through to alleviate inflammation response. The M1 macrophages can promote inflammation. We hypothesized that hydrogen would promote the M1 ...

Protective effects of hydrogen-rich saline on necrotizing enterocolitis in neonatal rats2013 - Intestine - Intestinal InjuryPurpose: The aim of this study was to test the hypothesis that hydrogen-rich saline (HRS) might have protective effects on the development of necrotizing enterocolitis (NEC) in a neonatal rat model. Methods: NEC was induced in male newborn ..."
Necrotizing Pancreatitis,Hydrogen-Rich Saline Attenuates Acute Hepatic Injury in Acute Necrotizing Pancreatitis by Inhibiting ...2016 - Liver - Liver InjuryObjectives: The objective of this study was to study the role of hydrogen-rich saline (HRS) on acute hepatic injury (AHI) in acute necrotizing pancreatitis (ANP). Methods: Rats were used for this study and an ANP model was induced by injecting 5% ...
Neurodegeneration,"Randomized double-blind placebo-controlled trial of hydrogen inhalation for Parkinson’s ...2021 - Brain - Parkinson's DiseaseBackground: Oxidative stress is involved in the progression of Parkinson's disease (PD). Recent studies have confirmed that molecular hydrogen (H2) functions as a highly effective antioxidant in animal models of PD. A placebo-controlled, randomized, ...

Hydrogen-saturated saline mediated neuroprotection through autophagy via PI3K/AKT/mTOR pathway in ...2021 - Brain - Parkinson's DiseaseSome cardiovascular symptoms in the early stage of Parkinson's disease (PD) were related to degeneration of the rostral ventrolateral medulla (RVLM) catecholaminergic neurons. To date, little is known about the effects of hydrogen water on early ...

Inhalation of hydrogen gas elevates urinary 8-hydroxy-2′-deoxyguanine in Parkinson’s ...2019 - Brain - Parkinson's DiseaseHyposmia is one of the earliest and the most common symptoms in Parkinson's disease (PD). The benefits of hydrogen water on motor deficits have been reported in animal PD models and PD patients, but the effects of hydrogen gas on PD patients have not ...

Hydrogen in drinking water reduces dopaminergic neuronal loss in the ...2009 - Brain - Parkinson's DiseaseIt has been shown that molecular hydrogen (H(2)) acts as a therapeutic antioxidant and suppresses brain injury by buffering the effects of oxidative stress. Chronic oxidative stress causes neurodegenerative diseases such as Parkinson's disease (PD). ...

Molecular hydrogen is protective against 6-hydroxydopamine-induced nigrostriatal degeneration in a ...2009 - Brain - Parkinson's DiseaseMolecular hydrogen serves as an antioxidant that reduces hydroxyl radicals, but not the other reactive oxygen and nitrogen species. In the past year, molecular hydrogen has been reported to prevent or ameliorate eight diseases in rodents and one in ..."
