First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Country
"Lu, Xin","Yu, Xinlei; Li, Bo; Sun, Xianshun; Cheng, Longjiu; Kai, YuanZhong; Zhou, Hongping; Tian, Yupeng","Li, Dandan",Harnessing Metal-Organic Frameworks for NIR-II Light-Driven Multiphoton Photocatalytic Water Splitting in Hydrogen Therapy ,2024,Advanced Science,10.1002/advs.202405643 ,"The construction of near-infrared (NIR) light-activated hydrogen-producing materials that enable the controlled generation and high-concentration release of hydrogen molecules in deep tumor tissues and enhance the effects of hydrogen therapy holds significant scientific importance. To address the key technical challenge of low-efficiency oxidation-reduction reactions for narrow-bandgap photocatalytic materials, this work proposes an innovative approach for the controllable fabrication of multiphoton photocatalytic materials to overcome the limitations imposed by traditional near-infrared photocatalysts with ""narrow-bandgap"" constraints. Herein, an NIR-responsive multiphoton photocatalyst, ZrTc-Co, is developed by utilizing a post-synthetic coordination modification strategy to introduce hydrogenation active site CoII into a multiphoton responsive MOF (ZrTc). The results reveal that with the introduction of the CoII site, electron-hole recombination can be efficiently suppressed, thus promoting the efficiency of hydrogen evolution reaction. In addition, the integration of CoII can effectively enhance charge transfer and improve static hyperpolarizability, which endows ZrTc-Co with excellent multiphoton absorption. Moreover, hyaluronic acid modification endows ZrTc-Co with cancer cell-specific targeting characteristics, laying the foundation for tumor-specific elimination. Collectively, the proposed findings present a strategy for constructing NIR-II light-mediated hydrogen therapeutic agents for deep tumor elimination. ",China
"Kikuchi, Kenji","Tanaka, Yoshinori; Saihara, Yasuhiro; Maeda, Miho; Kawamura, Masaaki","Ogumi, Zempachi",Concentration of hydrogen nanobubbles in electrolyzed water ,2006,Journal of Colloid and Interface Science, 10.1016/j.jcis.2006.01.010 ,"The hydrogen concentration of solutions supersaturated with hydrogen comprising dissolved hydrogen and hydrogen bubbles obtained through water electrolysis was studied. The rate of decrease in concentration of hydrogen nanobubble diameter below 600 nm and dissolved hydrogen with elapsed time after electrolysis was seemed to be independent of ionic strength and ion type and storage temperature. The concentration of hydrogen nanobubbles (mol dm(-3)) in electrolyzed water decreases with ionic strength, while the total hydrogen concentration remains roughly constant. The hydrogen nanobubble concentration increases in accordance with the nature of ions existing in solution in the following order I- < Br- < Cl- and K+ < Li+ < Na+. It is shown that the ratio of hydrogen nanobubble concentration to total hydrogen concentration of hydrogen in a catholyte strongly depends on the ratio in the supersaturated hydrogen solution near the electrode surface. ",Japan
"Liu, Shuang","Tian, Ge; Gao, Shanshan","Liu, Hang","Changes in structure, physicochemical properties and in vitro digestibility of quinoa starch during heat moisture treatment with hydrogen-infused and plasma-activated waters ",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.136025 ,"In this study, comparative effect of heat moisture treatment (HMT) with distilled, hydrogen-infused and plasma-activated waters on the structure, physicochemical properties and in vitro digestibility of quinoa starch (QS) was investigated. To our knowledge, this study is the first to apply hydrogen-infused water to starch modification. The surface of HMT-modified samples was much rougher than that of native QS. HMT did not change the typical ""A""-type X-ray diffraction pattern of QS but it increased its relative crystallinity. Meanwhile, amylose content, gelatinization temperature and water absorption capacity of QS significantly increased, whereas viscosity and swelling power markedly decreased. The rapidly digestible starch level of HMT-treated samples was significantly lower than that of native QS, and the resistant starch content markedly increased. These alterations were dependent on treatment moisture level. Furthermore, compared to distilled water, the HMT with hydrogen-infused and plasma-activated waters induced much more extensive effect on above properties, and the sample treated with plasma-activated water had the highest extent due to the acidic or alkaline environment and reactive oxygen and nitrogen species. These results identified that the combination of HMT with hydrogen-infused or plasma-activated water was a novel strategy to improve the thermal stability and functionality of quinoa starch. ",China
"Chen, Casey J",,"Williams, Evan",Are Hydroxyl Radicals Spontaneously Generated in Unactivated Water Droplets? ,2024,Angewandte Chemie,10.1002/anie.202407433 ,"Spontaneous ionization/breakup of water at the surface of aqueous droplets has been reported with evidence ranging from formation of hydrogen peroxide and hydroxyl radicals, indicated by ions at m/z 36 attributed to OH•-H3O+ or (H2O-OH2)+• as well as oxidation products of radical scavengers in mass spectra of water droplets formed by pneumatic nebulization. Here, aqueous droplets are formed both by nanoelectrospray, which produces highly charged nanodrops with initial diameters ~100 nm, and a vibrating mesh nebulizer, which produces 2 - 20 µm droplets that are less highly charged. The lifetimes of these droplets range from 10s of µs to 560 ms and the surface-to-volume ratios span ~100-fold range. No ions at m/z 36 are detected with pure water, nor are significant oxidation products for the two radical scavengers that were previously reported to be formed in high abundance. These and other results indicate that prior conclusions about spontaneous hydroxyl radical formation in unactivated water droplets are not supported by the evidence and that water appears to be stable at droplet surfaces over a wide range of droplet size, charge and lifetime. ",United States
"Kempler, Paul A.","Cordian, Robert H.","Luo, Long",Gas Evolution in Water Electrolysis ,2024,Chemical Reviews,10.1021/acs.chemrev.4c00211 ,"Gas bubbles generated by the hydrogen evolution reaction and oxygen evolution reaction during water electrolysis influence the energy conversion efficiency of hydrogen production. Here, we survey what is known about the interaction of gas bubbles and electrode surfaces and the influence of gas evolution on practicable devices used for water electrolysis. We outline the physical processes occurring during the life cycle of a bubble, summarize techniques used to characterize gas evolution phenomena in situ and in practical device environments, and discuss ways that electrodes can be tailored to facilitate gas removal at high current densities. Lastly, we review efforts to model the behavior of individual gas bubbles and multiphase flows produced at gas-evolving electrodes. We conclude our review with a short summary of outstanding questions that could be answered by future efforts to characterize gas evolution in electrochemical device environments or by improved simulations of multiphase flows. ",United States
"Levikhin, A.A.",,"Boryaev, A.A.",Physical properties and thermodynamic characteristics of hydrogen ,2024,Heliyon,10.1016/j.heliyon.2024.e36414 ,"This paper discusses the use of hydrogen in various industries and energy sectors. It focuses on studying the properties and characteristics of hydrogen, which serves as a key factor in determining its potential in various applications. Such aspects of hydrogen application as environmental friendliness as well as utilization efficiency and safety are considered. The widespread use of hydrogen as a universal environmentally friendly energy carrier, raw material and fuel will successfully solve many significant ecological, energy and technological problems. The most important physical and chemical properties and thermodynamic characteristics of hydrogen described in the paper make it possible to choose among existing technologies or focus on developing new ones that will ensure high efficiency of its utilization not only at present but also in future. The information presented in the paper can be used for reference. ",Russia
"Demirkir, Cayan","Wood, Jeffrey A.; Lohse, Detlef","Krug, Dominik",Life beyond Fritz: On the Detachment of Electrolytic Bubbles ,2024,Langmuir,10.1021/acs.langmuir.4c01963 ,"We present an experimental study on detachment characteristics of hydrogen bubbles during electrolysis. Using a transparent (Pt or Ni) electrode enables us to directly observe the bubble contact line and bubble size. Based on these quantities we determine other parameters such as the contact angle and volume through solutions of the Young-Laplace equation. We observe bubbles without (""pinned bubbles"") and with (""spreading bubbles"") contact line spreading and find that the latter mode becomes more prevalent if the concentration of HClO4 is ≥0.1 M. The departure radius for spreading bubbles is found to drastically exceed the value predicted by the well-known formula of W. Fritz [Phys. Z. 1935, 36, 379-384] for this case. We show that this is related to the contact line hysteresis, which leads to pinning of the contact line after an initial spreading phase at the receding contact angle. The departure mode is then similar to a pinned bubble and occurs once the contact angle reaches the advancing contact angle of the surface. A prediction for the departure radius based on these findings is found to be consistent with the experimental data. ",Netherlands
"Engin, Tunahan","Cigdem, Ayhan; Alma, Mehmet Hakki","Alwazeer, Duried","Hydrogen-rich solvent method enhances the extraction of phenolics, pigments, reducing sugars, organic acids, and vitamin C from cowslip (Primula veris L.) flower ",2024,Food Chemistry,10.1016/j.foodchem.2024.141271 ,"Cowslip (Primula veris L.) is an anioxidant-rich plant used for many food and medicinal purposes. In this study, the effect of incorporating hydrogen (H2) into water (HRW), ethanol (HRE), and methanol (HRM) on the extraction of flavonoids (TFC), phenolics (TPC), and antioxidants (metal chelation, FRAP, DPPH, and ABTS) as well as color (L*, a*, b*, C*, H°), chlorophyll (a, b), lycopene, and β-carotene of wild cowslip flowers was evaluated. The results were submitted to Principal Component Analysis and correlation. Phenolic compounds, organic acids, vitamin C, and sugar content of the extract were analyzed using high-performance reverse phase liquid chromatography (HPLC-DAD/RID). The highest TPC, TFC, and antioxidant activity (metal chelation, FRAP, DPPH, and ABTS) were shown for HRM samples, followed by HRE samples, while the lowest were found for pure solvents. Incorporating H2 into all solvents significantly increased TPC, TFC, metal chelation, DPPH, and ABTS scavenging activity, as well as b*, C*, H°, chlorophyll, lycopene, and β-carotene values. The levels of some phenolics (catechin, epicatechin, rutin, and quercetin), organic acids (tartaric acid and succinic acid), reducing sugars (maltose, glucose, and fructose), and ascorbic acid increased by 10-90 % when an H2-rich solvent was used instead of the pure solvent. This is the first report showing the enhanced extraction of organic acids, pigments, and ascorbic acid by hydrogen-rich solvent. The main benefits of the HRS method are its sustainability and high efficiency in extracting bioactive compounds from medicinal plants. ",Turkey
"Wang, Tongzhou","Cao, Xuejie","Jiao, Lifang","PEM water electrolysis for hydrogen production: fundamentals, advances, and prospects",2022,Carbon Neutrality,10.1007/s43979-022-00022-8,"Hydrogen, as a clean energy carrier, is of great potential to be an alternative fuel in the future. Proton exchange membrane (PEM) water electrolysis is hailed as the most desired technology for high purity hydrogen production and self-consistent with volatility of renewable energies, has ignited much attention in the past decades based on the high current density, greater energy efficiency, small mass-volume characteristic, easy handling and maintenance. To date, substantial efforts have been devoted to the development of advanced electrocatalysts to improve electrolytic efficiency and reduce the cost of PEM electrolyser. In this review, we firstly compare the alkaline water electrolysis (AWE), solid oxide electrolysis (SOE), and PEM water electrolysis and highlight the advantages of PEM water electrolysis. Furthermore, we summarize the recent progress in PEM water electrolysis including hydrogen evolution reaction (HER) and oxygen evolution reaction (OER) electrocatalysts in the acidic electrolyte. We also introduce other PEM cell components (including membrane electrode assembly, current collector, and bipolar plate). Finally, the current challenges and an outlook for the future development of PEM water electrolysis technology for application in future hydrogen production are provided.",China
"Mousa, Ahmed M.","Sayed, Hassan A.A.; Ali, Khaled A.M.; Elkaoud, Nabil S.","Mahmoud, Wael A.E.",Energy-conversion efficiency for producing oxy-hydrogen gas using a simple generator based on water electrolysis ,2024,Nature Scientific Reports,10.1038/s41598-024-73534-1 ,"Producing hydrogen efficiently through water electrolysis could greatly reduce fossil fuel consumption. As well as this renewable energy source will also help combat global warming and boost economic investment opportunities. This paper studied some factors affecting the performance of oxy-hydrogen/hydroxy (HHO) gas generator, such as applied voltage (from 10.5 to 13.0 V) and electrolyte solution concentration (from 0.05 to 0.20 M), using a dry fuel cell based on the electrolyzing technique of water. The results revealed that the HHO gas production rate, power consumption, and temperature change of electrolyte solution increased significantly with increasing the tested applied voltage and electrolyte concentration. This study concluded that the optimum conditions for producing HHO gas ranged from 11.5 to 12.0 V for applied voltage and from 0.05 to 0.10 M for KOH concentration according to the lowest specific energy and highest HHO gas generator efficiency. Under the previous optimum conditions, the highest productivity, specific energy, and efficiency of the HHO gas generator were 343.9 cm3 min-1, 3.43 kW h m-3, and 53.79%, respectively, using 12.0 V for applied voltage and 0.10 M for electrolyte solution concentration. These findings provide an unambiguous direction for adjusting the operational factors (applied voltage and electrolyte concentration) for efficient HHO gas production and use in different applications. Furthermore, the required energy to operate the HHO gas generator can be obtained from renewable sources. ",Egypt
"Kikuchi, Kenji","Takeda, Hiroko; Rabolt, Beatrice; Okaya, Takuji; Ogumi, Zempachi; Saihara, Yasuhiro","Noguchi, Hiroyuki",Hydrogen particles and supersaturation in alkaline water from an Alkali–Ion–Water electrolyzer,2001,Journal of Electroanalytical Chemistry,10.1016/S0022-0728(01)00517-4,"The hydrogen content in alkaline water obtained from an electrolytic flow cell was examined by measuring the diameter distribution of hydrogen microbubbles (hydrogen particles) in electrolyzed alkaline water using the dynamic light scattering (DLS) method. The influence of electrolysis conditions on the hydrogen content and the diameter distribution of hydrogen particles were also examined. The diameter of hydrogen particles changes rapidly with elapsed time after electrolysis, indicating that hydrogen particles grow to form large particles. The distribution of the particle diameter shows two peaks. The mean diameter of hydrogen particles is distributed mainly between 20 and 300 nm. The mean diameter decreases with an increasing current density up to 0.03 A dm−2. The diameter of hydrogen particles is smaller than the equilibrium diameter obtained by the concentration of dissolved hydrogen, suggesting that the electrolyzed water is a transition state from supersaturated to saturated solutions. Hydrogen exists in particles as a colloidal solution in a region of hydrogen content in electrolyzed water above 0.75 mM, which represents the saturation concentration of the dissolved hydrogen.",Japan
"Wang, Xuelin","Li, Pan; Ning, Rongsheng; Ratul, Rehman; Zhang, Xianren","Ma, Jun",Mechanisms on stability of bulk nanobubble and relevant applications: A review,2023,Journal of Cleaner Production,10.1016/j.jclepro.2023.139153,"The exceptional physicochemical properties of nanobubbles bestow them the potential for diverse applications, specially in water and wastewater treatment. These applications have stimulated new investigations into stability mechanisms —an essential prerequisite for their effective practical utilization. Producing nanobubbles with stable and measurable properties is a critical endeavour to broaden their applications. However, several challenges persist in the basic theoretical understanding of bulk nanobubble stability. Several bubble models and mechanisms of action remain uncertain and necessitate comprehensive exploration. This review aims to comprehensively analyze scientific information and experimental data reported in recent years on the mechanisms of nanobubble stability and related applications for aquatic environments. Empirical evidence has demonstrated that bulk nanobubbles can endure for notable spans of time —ranging from weeks to months-as verified through diverse characterization techniques. Nevertheless, this phenomenon poses a theoretical challenge to the conventional Young-Laplace equation. The mechanisms underlying this remarkable stability remain partially understood, creating a barrier to this pioneering technology's advancement and practical implementation. In this critical review, we thoroughly analyze the stability mechanisms of single nanobubble and clusters of nanobubbles, presenting these discussions distinctly. We precisely summarize and deliberate upon the impact of various controlling parameters within the aquatic environment that influence nanobubble stability. Moreover, we establish a cohesive link between the stability of bulk nanobubbles within aquatic environment applications, marking a novel assertion. Finally, this work proposes the most convincing stability mechanisms, highlights critical potential directions specially on stability-oriented and its applications for future research. This review will facilitate an in-depth understanding of the stability mechanism of nanobubbles and offer valuable insights of their potential applications in practical engineering. Additionally, it aims to contribute to the future design of nanobubble reactors.",China
"Gao, Xintong","Wang, Pengtang; Sun, Xiaogang; Jaroniec, Mietek; Zheng, Yao","Qiao, Shi-Zhang",Membrane-Free Water Electrolysis for Hydrogen Generation with Low Cost ,2024,Angewandte Chemie,10.1002/anie.202417987 ,"Conventional water electrolysis relies on expensive membrane-electrode assemblies and sluggish oxygen evolution reaction (OER) at the anode, which makes the cost of green hydrogen (H2) generation much higher than that of grey H2. Here, we develop an innovative and efficient membrane-free water electrolysis system to overcome these two obstacles simultaneously. This system utilizes the thermodynamically more favorable urea oxidation reaction (UOR) to generate clean N2 over a new class of Cu-based catalyst (CuXO) for replacing OER, fundamentally eliminating the explosion risk of H2 and O2 mixing while removing the need for membranes. Notably, this membrane-free electrolysis system exhibits the highest H2 Faradaic efficiency among reported membrane-free electrolysis work. In situ spectroscopic studies reveal that the new N2Hy intermediate-mediated UOR mechanism on the CuXO catalyst ensures its unique N2 selectivity and OER inertness. More importantly, an industrial-type membrane-free water electrolyser (MFE) based on this system successfully reduces electricity consumption to only 3.78 kWh Nm-3, significantly lower than the 5.17 kWh Nm-3 of commercial alkaline water electrolyzers (AWE). Comprehensive techno-economic analysis (TEA) suggests that the membrane-free design and reduced electricity input of the MFE plants reduce the green H2 production cost to US$1.81 kg-1, which is lower than those of grey H2 while meeting the technical target (US$2.00-2.50 kg-1) set by European Commission and United States Department of Energy. ",Australia
"Zhu, Yiming","Li, Ling; Cheng, Hongfei","Ma, Jiwei",Alkaline Hydrogen Evolution Reaction Electrocatalysts for Anion Exchange Membrane Water Electrolyzers: Progress and Perspective ,2024,JACS Au,10.1021/jacsau.4c00898 ,"For the aim of achieving the carbon-free energy scenario, green hydrogen (H2) with non-CO2 emission and high energy density is regarded as a potential alternative to traditional fossil fuels. Over the last decades, significant breakthroughs have been realized on the alkaline hydrogen evolution reaction (HER), which is a fundamental advancement and efficient process to generate high-purity H2 in the laboratory. Based on this, the development of the practical industry-oriented anion exchange membrane water electrolyzer (AEMWE) is on the rise, showing competitiveness with the incumbent megawatt-scale H2 production technologies. Still, great challenges lie in exploring the electrocatalysts with remarkable activity and stability for alkaline HER, as well as bridging the gap of performance difference between the three-electrode cell and AEMWE devices. In this perspective, we systematically discuss the in-depth mechanisms for activating alkaline HER electrocatalysts, including electronic modification, defect construction, morphology control, synergistic function, field effect, etc. In addition, the current status of AEMWE is reviewed, and the underlying bottlenecks that impede the application of HER electrocatalysts in AEMWE are summarized. Finally, we share our thoughts regarding the future development directions of electrocatalysts toward both alkaline HER and AEMWE, in the hope of advancing the commercialization of water electrolysis technology for green H2 production. ",China
"Wang, Tingyan","Tang, Lian; Zhang, Yitong; Hong, Zhiyuan; Liu, Guanglei; Li, Ziyan; Chen, Juan; Peng, Liming","Ding, Wenjiang",Interaction between Hydrogen and Magnesium Films: From Hydrogenochromism to Applications ,2025,ACS Applied Materials & Interfaces,10.1021/acsami.4c19590 ,"Hydrogen, as a promising clean energy carrier, underscores the critical need for reliable detection technologies to ensure its safe and efficient use. Magnesium (Mg) thin films, with their hydrogenochromic properties, are particularly well-suited for hydrogen sensing applications due to their dramatic optical transitions. However, practical implementation faces challenges in achieving both rapid response and durability under cyclic conditions. To overcome these limitations, advanced interfacial tuning techniques have been developed to optimize hydrogen diffusion pathways and reinforce structural resilience. This review focuses on the scientific mechanism governing the interaction between Mg-based thin films and hydrogen, highlighting their suitability as hydrogen sensors with superior hydrogenochromic characteristics. Controllable manufacturing methods allow precise control over the alloy composition and microstructure of Mg-based thin films, facilitating the construction of phases and interfaces conducive to support efficient hydride formation, ultimately improving hydrogen response performance. Recent advancements in microstructure engineering, refined in situ characterization techniques, and promising optical applications drive the rapid development of Mg-based thin films.",China
"Cho, Seong Chan","Seok, Jun Ho; Manh, Hung Ngo; Seol, Jae Hun; Lee, Chi Ho","Lee, Sang Uck",Expanding the frontiers of electrocatalysis: advanced theoretical methods for water splitting ,2025,Nano Convergence,10.1186/s40580-024-00467-w ,"Electrochemical water splitting, which encompasses the hydrogen evolution reaction (HER) and the oxygen evolution reaction (OER), offers a promising route for sustainable hydrogen production. The development of efficient and cost-effective electrocatalysts is crucial for advancing this technology, especially given the reliance on expensive transition metals, such as Pt and Ir, in traditional catalysts. This review highlights recent advances in the design and optimization of electrocatalysts, focusing on density functional theory (DFT) as a key tool for understanding and improving catalytic performance in the HER and OER. We begin by exploring DFT-based approaches for evaluating catalytic activity under both acidic and alkaline conditions. The review then shifts to a material-oriented perspective, showcasing key catalyst materials and the theoretical strategies employed to enhance their performance. In addition, we discuss scaling relationships that exist between binding energies and electronic structures through the use of charge-density analysis and d-band theory. Advanced concepts, such as the effects of adsorbate coverage, solvation, and applied potential on catalytic behavior, are also discussed. We finally focus on integrating machine learning (ML) with DFT to enable high-throughput screening and accelerate the discovery of novel water-splitting catalysts. This comprehensive review underscores the pivotal role that DFT plays in advancing electrocatalyst design and highlights its potential for shaping the future of sustainable hydrogen production. ",South Korea
"Service, Robert F.",,,The parting of water ,2025,Science,10.1126/science.adw0390 ,"Green hydrogen is key to decarbonizing the world. But the costly, finicky devices that make it need dramatic improvement. ",United States
"De Luca, Angela","Ruggiero, Roberta; Cordaro, Aurora; Marrelli, Benedetta; Raimondi, Lavinia; Costa, Viviana; Bellavia, Daniele; Aiello, Elisabetta; Pavarini, Matteo; Piccininni, Antonio; Tatullo, Marco, Boanini, Elisa; Paduano, Francesco","Giavaresi, Gianluca",Towards Accurate Biocompatibility: Rethinking Cytotoxicity Evaluation for Biodegradable Magnesium Alloys in Biomedical Applications ,2025,Journal of Functional Biomaterials,10.3390/jfb15120382 ,"Magnesium and its alloys represent promising candidates for biomedical implants due to their biodegradability and mechanical properties, which are similar to natural bone. However, their rapid degradation process characterized by dynamic pH fluctuations and significant hydrogen gas evolution during biocorrosion adversely affects both in vitro and in vivo assessments. While the ISO 10993-5 and 12 standards provide guidelines for evaluating the in vitro biocompatibility of biodegradable materials, they also introduce testing variability conditions that yield inconsistent results. To address these inherent characteristics of Mg alloys, developing improved methods that accurately simulate the physiological environment for in vitro biocompatibility testing is essential. This study introduces two novel extraction approaches for evaluating Mg alloys: a buffered solution utilizing PBS/DMEM with quaternary dilutions and a modified ISO standard protocol employing decuple dilution of conventional unbuffered extracts. The present findings establish that controlled optimization of extraction conditions, specifically buffer composition and dilution parameters, enables reliable in vitro cytotoxicity assessment of Mg alloys, providing a robust methodology that advances the preclinical evaluation of these promising biodegradable materials. ",Italy
"Mancebo, Julia Garcia","Sack, Kristen; Nguyen, Richard; Peng, Yifeng; Sosa, Syndy; Anders, Marc; Roddy, Dantin J.","Kheir, John N.",Performance of Unmodified Mechanical Ventilators With 2% Hydrogen Gas Mixtures ,2025,Respiratory Care,10.4187/respcare.12371 ,"Background: Molecular hydrogen (H2) is a breathable gas that has been shown to have anti-oxidative, anti-inflammatory, and anti-apoptotic properties that may positively impact ischemia-reperfusion injury. The provision of 2% H2 through unmodified mechanical ventilators may facilitate the clinical translation of H2 as a therapeutic in critical illness. The effect of 2% H2 on ventilator performance is unknown. Methods: Unmodified Maquet Servo-i, Maquet Servo-u, Dräger Evita Infinity V500, and Dräger Evita Babylog VN500 ventilators from clinical stock were tested in an experimental closed system using certified, premixed air and O2 containing 2% H2 gas. Wall air and O2 supply were used as control. Ventilator settings were varied across the spectrum of neonatal to adult settings. End points included (1) difference between set and delivered tidal volume (VT) (Douglas method), (2) difference between set versus delivered O2 concentration, (3) delivered H2 concentration (gas chromatography), and (4) ventilator pre-use check malfunction. Correlation between set and measured end points were quantified by linear regression analysis and bias by Bland-Altman analysis. Results: During H2 administration, the average bias in measured versus set VT was within ± 10% for all ventilators except for the Babylog VN500, which exhibited an average bias of -89.2% (95% CI -107.0 to -71.3). The average bias in measured FIO2 was within ± 10% of set for all ventilators. Except for the Babylog VN500, all ventilators passed the pre-use check. Conclusions: Unmodified Servo-i, Servo-u, and Evita V500 ventilators deliver 2% H2 mixtures with acceptable accuracy in VT and FIO2. The Babylog VN500, which uses hot-wire anometry and a higher set operating temperature, exhibits unacceptably inaccurate delivery of VT with H2 mixtures. ",United States
"Qiu, Jiaxuan","Yao, Jiayi; Feng, Zhe; Huang, Baoyu; Luo, Zhongzhong","Wang, Longlu",Enhancing Water Electrolysis Performance by Bubble Behavior Management ,2025,Small Methods,10.1002/smtd.202402105 ,"Electrocatalytic water splitting for hydrogen generation plays a crucial role in promoting the energy transition and achieving the goals of carbon neutrality. Nevertheless, in the context of water electrolysis, the generated bubbles have an adverse impact on energy consumption and mass transfer efficiency. To address this challenge, a variety of strategies are investigated to accelerate bubble detachment and transport. It is of utmost significance to summarize those strategies for facilitating the advancement of water electrolysis performance. In this review, a comprehensive account of strategies are presented for enhancing water electrolysis performance through bubble behavior management. First, the impact of the electrolyte on bubbles is discussed. Then, optimized interactions between bubbles and the electrode surface are introduced, which focus on reducing adhesion forces and implementing other forces. Next, dynamic bubbling of deformable catalysts is discussed, such as fern- and caterpillar-like catalysts. Following that, bubble-bubble interactions are investigated as bubble coalescence is proved to be beneficial for earlier bubble departure compared to buoyancy effect alone. Finally, outlooks are presented for future development of efficient bubble removal strategies for enhanced water electrolysis performance. The review aims to deepen the comprehension of bubbles interactions and stimulate the development of management strategies, thereby further enhancing the performance of water electrolysis. ",China
"Ramu, Adam Gopal",,"Choi, Dongjin",Interfacial water engineering for enhanced pure water electrolysis ,2025,Nature Scientific Reports,10.1038/s41598-025-98853-9 ,"We report the development of a novel self-organized water (SOW) electrolyzer using a plasma electrolytic oxidation (PEO)-treated platinum-titanium (PEO-Pt/Ti) heterostructure electrode, demonstrating exceptional performance in the hydrogen evolution reaction (HER). Hydrophilic materials like Nafion are critical for forming interfacial water zones with distinct properties compared to bulk water. We investigated the effects of infrared (IR) light on the negatively charged SOW and positively charged protonated water (PW) near Nafion surfaces. Mid-IR irradiation for 13 min significantly expanded the SOW, enhancing its ability to facilitate the dissociation of interfacial water into hydroxide ions (OH⁻) and protons (H⁺), thus driving efficient water splitting. The PEO-Pt/Ti electrode, synergized with optimized SOW, modulates electronic states, increases active surface area, improves conductivity, and lowers activation energy barriers. This enables current densities of 100 mA cm⁻² at 3.1 V and superior H₂ production at 3.5 V, with stable operation exceeding 25 h. These findings highlight the system's durability, efficiency, and cost-effectiveness. By integrating advanced electrode engineering with SOW systems, this work introduces a scalable strategy for sustainable hydrogen production, addressing key challenges in clean energy generation and advancing renewable energy technologies. ",South Korea
"Wang, Kaixin","Gadea, Esteban D.; Money, Benjamin R.; Sirkin, Yamila A. Perez; Scherlis, Damian A.; White, Henry S.","Molinero, Valeria",Nanoparticle Electrodes Trigger Bubble Detachment and Enhance Gas Evolution Efficiency ,2025,ACS Nano,10.1021/acsnano.5c00703 ,"Nanobubble formation and binding to nanoelectrodes significantly hinder the efficiency of gas evolution reactions, limiting the potential of hydrogen production technologies. This work uncovers the pivotal role of the nanoelectrode shape in influencing catalytic performance and nanobubble detachment. Using molecular dynamics simulations supported by experimental evidence, we establish that nanoparticle electrodes with convex geometries (e.g., hemispheres, spheres, and cubes) sustain higher catalytic performance by maintaining greater reactive surface exposure than flat or concave electrodes. Most importantly, we demonstrate that convex nanoparticle electrodes mitigate bubble pinning by promoting unlimited growth and spontaneous detachment. We develop a diffusional theory that explains and generalizes our simulations, predicting the onset currents that drive nanobubbles into a nonstationary growth regime. This theory reveals that the transition to continuous bubble growth occurs when the electrochemically generated gas rate surpasses the diffusion-limited escape rate, independent of electrode size and convex shape but sensitive to the electrode support. The theoretical model extends the predictions to other gas-evolving electrochemical processes, highlighting its relevance to diverse catalytic systems. Surprisingly, our calculations reveal that bubble detachment contributes minimally to the total current. Instead, the enhanced catalytic efficiency of convex electrodes stems from their ability to sustain an exposed reactive surface, even during bubble growth. These findings provide a fundamental framework for designing nanoelectrodes that optimize gas evolution by prioritizing surface exposure rather than relying solely on bubble detachment. ",United States
"Logar, Anja","Kozlica, Dzevad K.; Vodeb, Ozbej; Gabrescek, Miran; Hodnik, Nejc","Strmcnik, Dusan",Bubble Trouble: Quantifying the Effects of Bubbles on the Electrochemical Interface ,2025,ACS Catalysis,10.1021/acscatal.5c00144 ,"The accumulation of electrochemically produced bubbles is inevitable in gas-evolving reactions and can induce potential losses by theoretically increasing activation, concentration, and ohmic overpotentials. These effects are often either overstated or completely neglected in the literature, which complicates the accurate analysis of experimental results for gas evolution reactions. This study systematically identifies and quantifies the overpotential losses induced by bubbles by combining experimental results for hydrogen (HER) and oxygen evolution reactions (OER), obtained using the rotating disk electrode (RDE) technique, with simulations based on a two-dimensional transmission line model. Our results show that ohmic overpotential is the primary cause of apparent activity loss due to bubbles in RDE. This effect leads to catalyst activity misestimates exceeding 2 orders of magnitude, and Tafel slope errors of 100% at higher currents if left uncorrected. By identifying these effects, this work provides a robust framework for mitigating inaccuracies and improving the characterization of electrocatalysts for gas evolution reactions. ",Slovenia
"Yuan, Jianping","Wang, Shiduo; Wei, Haiqiao; Shu, Gequn","Pan, Jiaying",Molecular Dynamics Insights into the Stability of Bulk Hydrogen Nanobubbles in Water and Methanol ,2025,Langmuir,10.1021/acs.langmuir.5c01659 ,"Bulk hydrogen nanobubbles (NBs) play a key role in hydrogen generation and utilization. However, their stabilization mechanisms in different solvents remain not fully understood. This study employs molecular dynamics simulations to investigate the stability and evolution of bulk hydrogen NBs in water and methanol, with experimental measurements providing validation. The results show that NBs in methanol tend to dissolve at lower initial gas densities, indicating a lower stability compared to those in water. Under stable conditions, approximately 80% of hydrogen molecules remain inside NBs in water, while only about 40% remain in methanol, consistent with methanol's higher hydrogen solubility observed experimentally. Further analysis reveals that hydrogen NBs in water exhibit a thinner gas-liquid interface as well as lower internal pressure and gas density, mainly related to its lower hydrogen solubility. Utilizing mechanical equilibrium and critical radius theory, we identify the hydrogen concentration thresholds for NB stability to be 0.96-1.44 mol/L in water and 2.69-2.88 mol/L in methanol. Additionally, hydrogen molecules in methanol exhibit more vigorous motion, stronger gas-liquid interactions, and a weaker hydrogen bond network. This study provides molecular-level insights into the stabilization of bulk hydrogen NBs in different solvents. ",China
