ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country
1409,"Wu, Fan","Liang, Tao; Liu, Yang; Wang, Chenhuil Sun, Yongxing","Wang, Baoguo","Effects of perioperative hydrogen inhalation on brain edema and prognosis in patients with glioma: a single-center, randomized controlled study ",2024,Frontiers in Neurology,10.3389/fneur.2024.1413904 ,"Introduction: Brain edema is a life-threatening complication that occurs after glioma surgery. There are no noninvasive and specific treatment methods for brain edema. Hydrogen is an anti-inflammatory and antioxidant gas that has demonstrated therapeutic and preventative effects on several diseases, particularly in the nervous system. This study aimed to determine the therapeutic effects of hydrogen administration on brain edema following glioma surgery and elucidate its mechanism. Methods: A single-center, randomized controlled clinical trial of hydrogen inhalation was conducted (China Clinical Trial Registry [ChiCTR-2300074362]). Participants in hydrogen (H) group that inhaled hydrogen experienced quicker alleviation of postoperative brain edema compared with participants in control (C) group that inhaled oxygen. Results: The volume of brain edema before discharge was significantly lower in the H group (p < 0.05). Additionally, the regression rate of brain edema was higher in the H group than in the C group, which was statistically significant (p < 0.05). Furthermore, 3 days after surgery, the H group had longer total sleep duration, improved sleep efficiency, shorter sleep latency, and lower numerical rating scale (NRS) scores (p < 0.05). Discussion: In conclusion, hydrogen/oxygen inhalation effectively reduced postoperative brain edema in glioma patients. Further research is necessary to understand the underlying mechanisms of hydrogen's therapeutic effects. Hydrogen is expected to become a new target for future adjuvant therapy for brain edema.",Positive,Human,Brain,Cancer,Surgery/Transplantation,Gas,N/A,Inhalation,,,China
1410,"Wang, Yuanlin","Han, Qingqing; Liu, Lingling; Wang, Shuai; Li, Yongfa; Qian, Zhanyingl Jiang, Yi","Yu, Yonghao",Natural hydrogen gas and engineered microalgae prevent acute lung injury in sepsis ,2024,Materials Today Bio,10.1016/j.mtbio.2024.101247 ,"Background: Hydrogen gas and microalgae both exist in the natural environment. We aimed to integrate hydrogen gas and biology nano microalgae together to expand the treatment options in sepsis. Methods: Phosphoproteomics, metabolomics and proteomics data were obtained from mice undergoing cecum ligation and puncture (CLP) and inhalation of hydrogen gas. All omics analysis procedure were accordance with standards. Multi R packages were used in single cell and spatial transcriptomics analysis to identify primary cells expressing targeted genes, and the genes' co-expression relationships in sepsis related lung landscape. Then, network pharmacology method was used to identify candidate drugs. We used hydrophobic-force-driving self-assembly method to construct dihydroquercetin (DQ) nanoparticle. To cooperate with molecular hydrogen, ammonia borane (B) was added to DQ surface. Then, Chlorella vulgaris (C) was used as biological carrier to improve self-assembly nanoparticle. Vivo and vitro experiments were both conducted to evaluate anti-inflammation, anti-ferroptosis, anti-infection and organ protection capability. Results: As a result, we identified Esam and Zo-1 were target phosphorylation proteins for molecular hydrogen treatment in lung. Ferroptosis and glutathione metabolism were two target pathways. Chlorella vulgaris improved the dispersion of DQB and reconstructed morphological features of DQB, formed DQB@C nano-system (size = 307.3 nm, zeta potential = -22mv), with well infection-responsive hydrogen release capability and biosafety. In addition, DQB@C was able to decrease oxidative stress and inflammation factors accumulation in lung cells. Through increasing expression level of Slc7a11/xCT and decreasing Cox2 level to participate with the regulation of ferroptosis. Also, DQB@C played lung and multi organ protection and anti-inflammation roles on CLP mice. Conclusion: Our research proposed DQB@C as a novel biology nano-system with enormous potential on treatment for sepsis related acute lung injury to solve the limitation of hydrogen gas utilization in clinics.",Positive,Cell Culture,Whole Body,Sepsis,Novel Therapy,Gas (Sustained Release),N/A,In Vivo Biotic Production,,Chlorella vulgaris,China
1411,"Chao, Minghao","Huang, Yuqi; Zhou, Peng; Wu, Guoquan; Ren, Yiping; Yan, Hanrong; Dong, Shuqing; Yan, Xiang; Chen, Hongliang","Gao, Fenglei",Au/Ag@ZnS yolk-shell photocatalysts enhanced with noble metals and hyaluronic acid for efficient hydrogen production in rheumatoid arthritis therapy ,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.135929 ,"Rheumatoid arthritis, characterized by the abnormal proliferation of synovial cells and extensive macrophage infiltration, is a chronic inflammatory disease. Molecular hydrogen, known for its antioxidant properties, has shown promise in eliminating reactive oxygen species. However, the low solubility and bioavailability of hydrogen limit the effectiveness of this therapy. To overcome these issues, we developed a novel yolk-shell heterostructure, H-AAZS (Au/Ag@ZnS modified hyaluronic acid), utilizing a hydrothermal cation exchange process. Through ion doping, semiconductor hybridization, and Schottky barriers in H-AAZS, photocatalysis for hydrogen generation has been successfully implemented using 660 nm laser irradiation. Additionally, the H-AAZS demonstrate the capacity for mild photothermal therapy, inducing apoptosis in synovial cells with Au's hot electrons with 660 nm laser irradiation. This strategy not only improves the abnormal proliferation of synovial cells but also avoids the exacerbation of inflammation caused by thermal stimulation. Both in vitro and in vivo experiments validate the synergistic effects of hydrogen production mediated anti-inflammatory responses, macrophage polarization and photothermal therapy. Therefore, this work represents a significant advancement as it ingeniously harnesses photocatalysis to modulate the synovial microenvironment while mitigating the side effects associated with photothermal therapy. This nanocrystal provides new and valuable insights into the potential treatment of Rheumatoid arthritis. ",Positive,Cell Culture,Bone,Rheumatoid Arthritis (RA),Oxidative Stress,Gas (Sustained Release),N/A,Implantation,,Hyaluronic Acid,China
1412,"Lu, Kuo-Cheng","Shen, Min-Chung; Wang, Reui-Lin; Chen, Wen-Wen; Chiu, Szu-Han; Kao, Yung-His; Liu, Feng-Cheng","Hsiao, Po-Jen",Using oral molecular hydrogen supplements to combat microinflammation in humans: a pilot observational study ,2024,International Journal of Medical Sciences,10.7150/ijms.101114 ,"Background: Persistent inflammation over time can cause gradual harm to the body. Molecular hydrogen has the potential to specifically counteract reactive oxygen species (ROS), reduce disease severity, and enhance overall health. Investigations of the anti-inflammatory and antioxidant properties of oral solid hydrogen capsules (OSHCs) are currently limited, prompting our examination of the beneficial effects of OSHCs. Subsequently, we conducted a clinical study to assess the impact of OSHCs supplementation on individuals with chronic inflammation. Materials and methods: Initially, we evaluated the oxidative reduction potential (ORP) properties of the OSHCs solution by comparing it to hydrogen-rich water (HRW) and calcium hydride (CaH2) treated water. In our outpatient department, stable patients with chronic illnesses who were treated with varying doses of OSHCs were randomized into low-, medium-, and high-dose groups for 4 weeks. Primary outcomes included changes in the serum erythrocyte sedimentation rate (ESR) and C-reactive protein (CRP) concentrations after four weeks of OSHCs consumption. Secondary outcomes included changes in the Brief Fatigue Inventory-Taiwan (BFI-T) fatigue scale, Control Status Scale for Diabetes (CSSD70) scores, and Disease Activity Score 28 (DAS28). Results: Compared to HRW and CaH2, OSHCs demonstrated a prolonged reduction in ORP for 60 minutes in vitro and enabled a regulated release of hydrogen over 24 hours. A total of 30 participants, with 10 in each dosage (low/medium/high) group, completed the study. The average ESR120 significantly decreased from the first week to the fourth week, with a noticeable dose effect (low-dose group, p = 0.494; high-dose group, p = 0.016). Overall, the average CRP concentration showed a distinct decreasing trend after four weeks of OSHCs administration (w0 vs. w4, p = 0.077). The average DAS28 score demonstrated a significant decrease following OSHCs treatment. Furthermore, there were improvements in the BFI-T and CSSD70 scores. Conclusion: OSHCs supplementation may exert anti-inflammatory and antioxidant effects on individuals with chronic inflammation. However, further clinical studies could be investigated to explore the potential therapeutic effects of OSHCs. ",Positive,Human,Whole Body,Hydrogen Biology,Inflammation,Gas (Sustained Release),N/A,Ingestion,,,Taiwan
1413,"Kimura, Koji",,"Tabata, Yasuhiko",Hydrogen gas improves proliferation and mitochondrial activity of human adipose-derived stem cells after cryopreservation ,2024,Regenerative Therapy,10.1016/j.reth.2024.08.004 ,"The objective of this study is to evaluate the effect of hydrogen gas on the biological functions of human adipose-derived stem cells (hADSC) in cryopreservation. hADSC were cryopreserved by a commercial cell preservation solution in the presence of hydrogen gas. After cryopreservation at -80 °C, the viability, initial attachment morphology, and biological parameters of cells cryopreserved were evaluated to compare with those of cells cryopreserved in the absence of hydrogen gas. The hydrogen concentration in the cell preservation solution was 2.0 ppm immediately after preparation and after that decreased with time. The presence of hydrogen gas permitted cells to significantly increase the proliferation of cells in addition to the percent initial adhesion. The number of cells in the spread state was significantly high compared with that of hydrogen gas-free cryopreserved cells. The cell cycle measurement with the flow cytometry and measurement of intracellular reactive oxygen species (ROS) were performed to demonstrate an enhanced cell cycle and a decreased ROS production. In the cell cycle assay, the percentage of cells in the mitotic phase increased. The presence of hydrogen gas decreased hydroxyl radicals immediately to a significantly great extent after thawing. It is concluded that the presence of hydrogen gas during cryopreservation is promising to improve the biological behavior of cells after cell thawing in terms of cells viability, proliferation or metabolic activity. ",Positive,Cell Culture,Whole Body,Hydrogen Biology,Stem Cell Transplantation,Gas,N/A,Culture Media,,,Japan
1414,"Wu, Fenglin","Ma, Jun; Xue, Junli; Jiang, Xue; Liu, Jinyu; Zhang, Jiashuo; Xue, Yazhuo; Liu, Boyan","Qin, Shucun",Effects of hydrogen-rich water on blood uric acid in patients with hyperuricemia: A randomized placebo-controlled trial ,2024,Heliyon,10.1016/j.heliyon.2024.e36401 ,"Background: Consumption of hydrogen-rich water (HRW) has been shown to have anti-inflammatory and metabolic-modulatory benefits. Objective: A randomized, placebo-controlled trial was conducted to assess the potential blood uric acid-lowering effects of HRW consumption with different doses (low and high doses) and duration (4 and 8 weeks) in patients with hyperuricemia. Methods: The Placebo group consumed three bottles of ordinary drinking water (330 mL per bottle), the Low-HRW group consumed two bottles of HRW (330 mL per bottle, H2 ≥ 4.66 mg/L) and a bottle of ordinary water, and the High-HRW group consumed three bottles of HRW daily for 8 weeks. The primary outcome was the blood uric acid levels following different time points (4 and 8 weeks) compared to baseline. Results: A total of 100 participants completed the entire trial (32 in Placebo, 35 in Low-HRW, and 33 in High-HRW groups). The high-dose of HRW was more effective than low-dose HRW in controlling blood uric acid. Following an 8-week period, the High-HRW group exhibited a significant reduction in blood uric acid levels compared to the baseline (488.2 ± 54.1 μmol/L to 446.8 ± 57.1 μmol/L, P < 0.05). Conclusion: As a rather safe agent, the prolonged consumption of HRW may be feasible in the management of hyperuricemia. Clinical trial registration: chictr.org.cn, identifier ChiCTR2200066369.",Positive,Human,Blood,Metabolic Syndrome,Hyperuricemia,Water (Electrolysis),Neutral,Ingestion,,,China
1415,"Cui, Yan","Meng, Shuqi; Zhang, Nannan; Liu, Jingya; Zheng, Lina; Ma, Wanjie; Song, Yu; Wang, Zhiwei; Shen, Yuehao; Liu, Jianfeng","Xie, Keliang",High-concentration hydrogen inhalation mitigates sepsis-associated encephalopathy in mice by improving mitochondrial dynamics ,2024,CNS Neuroscience & Therapeutics,10.1111/cns.70021 ,"Background: Sepsis-associated encephalopathy (SAE) is a neuronal injury with poor prognosis. Mitochondrial dysfunction is critical in SAE development, and hydrogen gas (H2) has a protective effect on septic mice. This study aimed to investigate the effect of high concentration (67%) of H2 on SAE and whether it is related to mitochondrial biogenesis and mitochondrial dynamics. Methods: A mouse sepsis model was induced by cecal ligation and puncture. The mice inhalated 67% H2 for 1 h at 1 and 6 h post-surgery, respectively. The 7-day survival rate was recorded. Cognitive function was assessed using the Y-maze test and Morris water maze test. Serum inflammatory factors, antioxidant enzymes, as well as mitochondrial function indexes including mitochondrial membrane potential (MMP) and ATP in the hippocampal tissue were evaluated 24 h after surgery. Mitochondrial dynamic proteins (DRP1 and MFN2) and biosynthetic proteins (PGC-1α, NRF2, and TFAM) in the hippocampal tissue were detected. Moreover, the morphology of mitochondria was observed by transmission electron microscopy. Results: Inhalation of 67% H2 improved the 7-day survival rates and recognition memory function of septic mice, alleviated brain antioxidant enzyme activity (SOD and CAT), and reduced serum proinflammatory cytokine levels. H2 inhalation also enhanced the expression of MFN2 and mitochondrial biogenesis-related factors (PGC-1α, NRF2, and TFAM) and decreased the expression of fission protein (DRP1), leading to improvement in mitochondrial function, as evidenced by MMP and ATP levels. Conclusions: Inhalation of high concentration (67%) of H2 in septic mice improved the survival rate and reduced neuronal injury. Its mechanism might be mediated by enhancing mitochondrial biogenesis and mitochondrial dynamics.",Positive,Mouse,Brain,Sepsis,Mitochondrial Function,Gas,N/A,Inhalation,,,China
1416,"Mei, Rui","Sun, Jinpeng; Cao, Shuchang; Shi, Mohan; Song, Zeyuan; Hua, Feng; Zhou, Gaoxin; Zhang, Mingshun","Liu, Jun",Hydrogen-releasing magnesium hydrogel mitigates post laminectomy epidural fibrosis through inhibition of neutrophil extracellular traps ,2024,Acta Biomaterialia,10.1016/j.actbio.2024.09.006 ,"Epidural fibrosis is a primary contributor to the failure of laminectomy surgeries, leading to the development of failed back surgery syndrome (FBSS). Post-laminectomy, neutrophils infiltrate the surgical site, generating neutrophil extracellular traps (NETs) that contribute to epidural fibrosis. Reactive oxygen species (ROS) play a pivotal role in mediating NETs formation. Molecular hydrogen, recognized for its selective antioxidant properties and biosafety, emerges as a potential therapeutic gas in suppressing epidural fibrosis. In this study, we developed an in-situ hydrogen release hydrogel that inhibits the formation of NETs and mitigates epidural scarring. Biodegradable magnesium (Mg) microspheres served as a hydrogen source, coated with PLGA to regulate hydrogen release. These microspheres (Mg@PLGA) were then incorporated into a PLGA-PEG-PLGA thermosensitive hydrogel (Mg@PLGA@Gel), providing a surgical implant for sustained, long-term hydrogen release. In vitro experiments confirmed the biocompatibility of the system, demonstrating that hydrogen produced by Mg@PLGA effectively neutralizes neutrophil intracellular ROS and inhibits NETs formation. Histological analyses, including H&E staining, MRI, Masson staining, and immunohistochemistry, collectively indicate that Mg@PLGA@Gel is biocompatible and effectively inhibits epidural fibrosis post-laminectomy. Furthermore, Mg@PLGA@Gel inhibits ROS accumulation and NETs formation at the surgical site. These findings suggest that Mg@PLGA@Gel ensures continuous, therapeutic hydrogen concentration, providing relief from epidural fibrosis in a laminectomy mouse model. STATEMENT OF SIGNIFICANCE: •The hydrogen-releasing hydrogel combines the therapeutic effects of a physical barrier with immunomodulation. •In situ-generated molecular hydrogen scavenges ROS caused by surgical stress and suppresses NETs formation. •The hydrogen-releasing hydrogel is demonstrated to exhibit high biocompatibility and inhibit epidural scar formation in vivo. ",Positive,Cell Culture,Spine,Surgery/Transplantation,Novel Therapy,Gas (Sustained Release),N/A,Implantation,,,China
1417,"Tumurbaatar, Batkhishig","Ogawa, Shinji; Nakamura, Nobuhisa; Yamada, Toshiyuki; Minato, Tomomi; Mori, Yoshiharu; Saiki, Tomokazu; Matsubara, Tatsuaki; Naruse, Keiko","Suda, Hisao",The effect of hydrogen gas on the oxidative stress response in adipose tissue ,2024,Nature Scientific Reports,10.1038/s41598-024-72626-2 ,"Oxidative stress in adipose tissue may alter the secretion pattern of adipocytokines and potentially promote atherosclerosis. However, the therapeutic role of hydrogen in adipose tissue under oxidative stress remains unclear. In this study, subcutaneous adipose tissue (SCAT) was collected from the mid-thoracic wounds of 12 patients who underwent open-heart surgery with a mid-thoracic incision. The adipose tissue was then immersed in a culture medium dissolved with hydrogen, which was generated using a hydrogen-generating device. The weight of the adipose tissue was measured before and after hydrogenation, and the tissue was immunostained for nuclear factor erythroid 2-related factor 2 (Nrf2), heme oxygenase-1 (HO-1), and superoxide dismutase (SOD), which are markers of oxidative stress. The immunostaining results showed that HO-1 and Nrf2 expression levels were significantly decreased in the hydrogenated group, whereas SOD expression levels increased, but did not attain statistical significance. Image analysis of adipose tissue revealed that a reduction in adipocyte size. Furthermore, hydrogenated adipose tissue showed a trend toward increased gene expression levels of adiponectin and decreased gene expression levels of chemerin, an adipocytokine involved in adipogenesis. These results demonstrated the therapeutic potential of hydrogen gas for oxidative stress in adipose tissue and for reducing adipocyte size. ",Positive,Cell Culture,Whole Body,Obesity,Oxidative Stress,Water (Electrolysis),Neutral,Culture Media,,,Japan
1418,"Fujiki, Yuta","Tanaka, Takahisa; Yakabe, Kyosuke; Seki, Natsumi; Akiyama, Masahiro; Uchida, Ken","Kim, Yun-Gi",Hydrogen gas and the gut microbiota are potential biomarkers for the development of experimental colitis in mice ,2024,Gut Microbiome,10.1017/gmb.2023.17 ,"Inflammatory bowel disease (IBD) is a chronic disease characterised by repeated relapses and remissions and a high recurrence rate even after symptom resolution. The primary method for IBD diagnosis is endoscopy; however, this method is expensive, invasive, and cumbersome to use serially. Therefore, more convenient and non-invasive methods for IBD diagnosis are needed. In this study, we aimed to identify biological gas markers for the development of gut inflammation. Using dextran sulphate sodium (DSS)-induced colitis mouse models, five biological gases were analysed to identify predictive markers for the development of gut inflammation. Additionally, the correlation between the changes in gas composition, gut microbiota, and inflammatory markers was assessed. The hydrogen (H2) level was found to be negatively correlated with the level of lipocalin-2 (LCN2), a gut inflammation biomarker, and weight loss due to DSS-induced colitis. Furthermore, gut microbes belonging to the Rikenellaceae and Akkermansiaceae families were positively correlated with LCN2 levels and weight loss, whereas Tannerellaceae abundance was negatively correlated with LCN2 level and weight loss and positively correlated with H2 levels. This study provides new insights for IBD diagnosis; the H2 levels in biological gases are a potential biomarker for intestinal inflammation, and specific gut microbes are associated with H2 level changes. ",Positive,Mouse,Intestine,Inflammatory Bowel Disease (IBD),Gut Microbiome,Gas (Sustained Release),N/A,In Vivo Biotic Production,,,Japan
1419,"Pang, Libin","Xiang, Lei; Chen, Gang","Cui, Wenguo",In-situ hydrogen-generating injectable short fibers for osteoarthritis treatment by alleviating oxidative stress ,2024,Acta Biomaterialia,10.1016/j.actbio.2024.09.008 ,"Hydrogen (H₂) has great potential in the treatment of osteoarthritis, but its rapid diffusion and short retention time make it difficult to exert stable therapeutic effects. This study developed a short-fiber injectable material that can continuously generate hydrogen in situ to eliminate reactive oxygen species (ROS), alleviate oxidative stress and inflammation, and promote tissue repair. We prepared H-Si nanosheets with high hydrogen generation efficiency using a wet chemical exfoliation method and combined them with GelMA short fibers via electrospinning technology, achieving the in situ delivery of H-Si nanosheets and regulated hydrogen generation rate through the encapsulation and degradation of GelMA, ultimately achieving continuous and controlled hydrogen supply and stable therapeutic effects for osteoarthritis. In vitro and in vivo experiments confirmed the safety and efficacy of this material. The results showed that the material could continuously and efficiently generate hydrogen in simulated physiological environments (100 mg of material could generate 8.6 % hydrogen), effectively eliminate cellular reactive oxygen species (ROS positive rate reduced by 85.89 %), reduce cellular senescence and apoptosis (cell death rate decreased by 52 %, SA-βgal expression decreased by 78.3 %), promote normal chondrocyte function (Col II expression increased by 67.4 %, Ki67 expression increased by 87.5 %), and improve osteoarthritis in rats (OARSI score increased by 216 %). The in situ hydrogen generation and control system designed in this study provides a new method for the hydrogen's local and stable treatment of osteoarthritis. STATEMENT OF SIGNIFICANCE: Hydrogen (H₂) has great potential in the treatment of osteoarthritis by alleviating oxidative stress, but its rapid diffusion and short retention time make it difficult to exert stable therapeutic effects. This study introduces an innovative injectable material combining H-Si nanosheets and GelMA short fibers to address this issue. By enabling continuous in situ hydrogen generation, this material effectively eliminates reactive oxygen species, reduces oxidative stress and inflammation, and promotes tissue repair. In vitro and in vivo experiments demonstrate its high hydrogen generation efficiency, safety, and therapeutic efficacy, offering a promising new approach for osteoarthritis management. ",Positive,Rat,Bone,Osteoarthritis (OA),Novel Therapy,Gas (Sustained Release),N/A,Implantation,,,China
1420,"Wang, Nan","Ma, Qianzi; Zhai, Jiayuan; Che, Yanlu; Liu, Junjie; Tang, Tianwei; Sun, Yanan; Wang, Jingting","Yang, Wanchao",Hydrogen inhalation: A novel approach to alleviating allergic rhinitis symptoms by modulating nasal flora ,2024,World Allergy Organization Journal,10.1016/j.waojou.2024.100970 ,"Background: Allergic rhinitis (AR) is an allergic reaction dominated by the Th2 immune response in the nasal mucosa. The bacterial infection process affects the balance between Th1 and Th2 immune responses, and the level of exposure to environmental flora is closely related to the development of AR. Hydrogen (H2) is a medical molecule with anti-inflammatory and antioxidant properties. This study aimed to explore the possible mechanism of action of H2 on AR through its ability to regulate the balance of nasal flora. Methods: Serum eosinophil count (EOS), immunoglobulin E (IgE) concentration, visual analog scale (VAS), total nasal symptom score (TNSS), and rhinoconjunctivitis quality of life questionnaire (RQLQ) were observed before and after hydrogen inhalation in AR patients. Skin prick test (SPT) was used to determine allergen sensitisation. Community composition and relative abundance of nasal flora were examined before and after hydrogen inhalation and in normal subjects using 16S rRNA gene sequencing. Results: There were no adverse reactions during and after hydrogen inhalation in AR patients, with a favorable safety profile and significant improvements in VAS, TNSS, EOS, and IgE (P < 0.05). Cavity flora 16S rRNA gene sequencing showed higher abundance of Ruminococcus and Erysipelotrichaceae flora in the nasal cavity of AR patients than in normal subjects, and their abundance could be down-regulated after H2 inhalation. H2 significantly increased the abundance of Blautia_faecis and negatively correlated with VAS, TNSS, EOS, and IgE. Conclusions: H2 may improve symptoms in AR patients by modulating the distribution of nasal flora. Trials with larger sample sizes are required to further test this hypothesis. Trial registration: This trial was registered in the China Clinical Trial Registry (Registration No. ChiCTR2200062253).",Positive,Human,Nose,Rhinitis,Nasal Microbiome,Gas,N/A,Inhalation,,,China
1421,"Jiang, Zi-Hao","Wang, Jun-Sheng; Wang, Jin-Ling; Zheng, Jiang-Fan; Li, Xiao-Ling; Yang, Zhi-Cheng; Xu, Meng-Qiu; Zhang, Yong-Li","Wang, Yu",Hydrogen attenuates ischaemia-reperfusion injury in skeletal muscles post-limb replantation by activating the NRF2/HO-1 signalling pathway to reduce BAX expression ,2024,Heliyon,10.1016/j.heliyon.2024.e37018 ,"Background: Ischaemia-reperfusion injury (IRI) is a critical complication post-limb replantation. The oxidative stress and cellular apoptosis due to IRI considerably hinder the healing process. This study aimed to investigate the modulatory effects of pre-perfusion with hydrogen-rich heparin sodium on the nuclear factor erythroid 2-related factor 2 (NRF2)/haeme oxygenase-1 (HO-1) pathway and its potential mechanisms in mitigating skeletal muscle IRI post-limb replantation. Methods: Forty healthy Sprague-Dawley rats (250-300 g) were classified into five groups (n = 8 each): normal control, IRI + heparin sodium pre-perfusion (heparin group), IRI + hydrogen-rich heparin sodium pre-perfusion (hydrogen-rich heparin group), IRI + hydrogen-rich heparin sodium pre-perfusion + NRF2 inhibitor (hydrogen-rich heparin + all-trans retinoic acid [ATRA] group), and IRI + heparin sodium pre-perfusion + NRF2 inhibitor (heparin + ATRA group). The activation of the NRF2/HO-1 pathway in skeletal muscle IRI was evaluated based on HO-1 expression using western blotting and immunofluorescence. Furthermore, haematoxylin and eosin staining and transmission electron microscopy were employed to determine the histopathological characteristics. Additionally, superoxide dismutase and malondialdehyde levels in skeletal muscle tissue were measured to assess antioxidant capacity and the degree of oxidative stress damage. Tissue hypoxia was assessed based on hypoxia-inducible factor 1-alpha expression, whereas apoptosis markers BCL-2-associated X protein (BAX) and Caspase-3 in skeletal muscle tissues were analysed using western blotting with terminal deoxynucleotidyl transferase dUTP nick end labelling staining to quantify cell apoptosis. Results: Compared with the control group, the heparin group exhibited significant pathological changes, including inflammatory infiltration and cellular hypertrophy, with increased apoptosis and oxidative stress. Notably, NRF2 suppression aggravated these effects. However, hydrogen-rich heparin sodium prominently activated the NRF2/HO-1 pathway, enhancing antioxidant defence and reducing BAX/Caspase-3-mediated apoptosis, thereby mitigating IRI-induced damage. The use of an NRF2 inhibitor to inhibit NRF2 excitation by hydrogen-rich heparin sodium notably weakened NRF2 activation and the antioxidant response, resulting in a substantial increase in cellular apoptosis. Conclusion: Pre-perfusion with hydrogen-rich heparin sodium markedly diminishes the BAX/Caspase-3-mediated apoptotic pathway in skeletal muscle tissues with IRI through the excitation of the NRF2/HO-1 pathway.",Positive,Rat,Muscle,Surgery/Transplantation,Ischemia-Reperfusion (I/R) Injury,Medium (Dissolved),Neutral,Injection,,Heparin,China
1422,"Mouzakis, Foivos Leonidas","Hima, Flutura; Kashefi, Ali; Greven, Johannes; Rink, Lothar; van der Vorst, Emiel P. C.; Jankowski, Joachim; Mottaghy, Khosrow","Spillner, Jan",Molecular Hydrogen and Extracorporeal Gas Exchange: A Match Made in Heaven? An In Vitro Pilot Study ,2024,Biomedicines,10.3390/biomedicines12081883 ,"Extracorporeal circulation (ECC) is frequently implemented in a vast array of modalities such as hemodialysis, cardiopulmonary bypass, extracorporeal membrane oxygenation (ECMO), and others. Patients receiving any such therapy are frequently encumbered with chronic inflammation, which is inherently accompanied by oxidative stress. However, ECC treatments themselves are also responsible for sustaining or promoting inflammation. On these grounds, an in vitro study was designed to investigate the therapeutic potential of molecular hydrogen (H2) against pro-inflammatory agents in ECC settings. Five miniature ECMO circuits and a small vial (Control) were primed with heparinized blood from healthy adult donors (n = 7). Three of the ECMO systems were injected with lipopolysaccharide (LPS), out of which one was additionally treated with an H2 gas mixture. After 6 h, samples were drawn for the assessment of specific biomarkers (MCP-1, MPO, MDA-a, TRX1, and IL-6). Preliminary results indicate a progressive oxidative and inflammatory response between the six systems. Circulation has triggered inflammation and blood trauma, but the staggering influence of LPS in this outcome is indisputable. Accordingly, hydrogen's remedial potential becomes immediately apparent as biomarker concentrations tend to be lower in the H2-handled circuit. Future research should have distinct objectives (e.g., dosage/duration/cycle of hydrogen administration) in order to ascertain the optimal protocol for patient treatment. ",Positive,Cell Culture,Blood,Surgery/Transplantation,Extracorporeal Circulation (ECC),Medium (Dissolved),Neutral,Infusion,,,Germany
1423,"Mu, Guo","Chen, Shuai; Chen, Xinyu; Li, Qiang; Lu, Bin","Yu, Xuan",Hydrogen regulated pyroptosis through NLRP3-GSDMD pathway to improve airway mucosal oxidative stress injury induced by endotracheal tube cuff compression ,2024,Free Radical Biology & Medicine,10.1016/j.freeradbiomed.2024.08.035 ,"The cuff of endotracheal tube (ETT) is an indispensable device for establishing an artificial airway, yet cuff-induced compression often causes damage to the airway mucosa. The mechanism of this damage involves mucosal compression ischemia and the oxidative stress injury following reperfusion. Currently, there is a lack of effective strategies to protect the mucosa. Hydrogen, as a natural antioxidant, has demonstrated significant potential in the prevention and treatment of oxidative stress injuries. This study aimed to determine the protective effects of hydrogen on compressed airway mucosa. We found that the damage to the airway mucosa caused by ETT cuff compression was associated with oxidative stress-induced pyroptosis of airway epithelial cells. Inhalation of hydrogen effectively reduced the levels of reactive oxygen species, significantly ameliorating changes in epithelial cell pyroptosis, and this protective effect is linked to the inhibition of the NLRP3-GSDMD pathway. Further cellular studies, involving knockdown and overexpression of NLRP3, clarified that hydrogen exerts its protective effects on the airway mucosa by inhibiting epithelial cell pyroptosis. Additionally, we observed that using hydrogen-rich saline to inflate the ETT cuff in patients under general anesthesia significantly reduced postoperative sore throat. This study confirms that hydrogen effectively enhances tolerance of airway mucosa to oxidative stress injuries, offering a potential preventive and therapeutic strategy for protecting the airway mucosa in patients undergoing endotracheal intubation. ",Positive,Human,Lung,Endotracheal Tube (ETT),Ischemia-Reperfusion (I/R) Injury,Gas,N/A,Inhalation,,,China
