First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Designation,Topic,Country
"Chen, Ji-Bing","Lu, You-Yong","Xu, Ke-Cheng",A narrative review of hydrogen oncology: from real world survey to real world evidence ,2020,Medical Gas Research,10.4103/2045-9912.296044 ,"The use of hydrogen for cancer control has made great progress in cytology and animal experiments. With the increasing number of hydrogen products on the market, larger numbers of advanced cancer patients have participated in clinical trials or received treatment at home after purchase. Our study reported a real-world survey from 82 patients with good cancer control using hydrogen products, including real world evidence from patients who received ineffective traditional treatment, patients who received traditional treatment that failed, or patients who refused traditional treatment. Two typical cases were reported herein. Subsequently, we included studies on the mechanism of hydrogen oncology. The mechanism of cancer control using hydrogen includes the inhibition of tumor cells and the activation of exhausted lymphocytes. Large-scale real world evidence has shown clinical value, and yet remains to be further developed and researched. ",Review,Cancer,China
"Harguindey, Salvador","Alfarouk, Khalid; Orozco, Julian Polo; Hardonniere, Kevin; Stanciu, Daniel; Fais, Stefano","Devesa, Jesus",A New and Integral Approach to the Etiopathogenesis and Treatment of Breast Cancer Based upon Its Hydrogen Ion Dynamics,2020,International Journal of Molecular Sciences,10.3390/ijms21031110,"Despite all efforts, the treatment of breast cancer (BC) cannot be considered to be a success story. The advances in surgery, chemotherapy and radiotherapy have not been sufficient at all. Indeed, the accumulated experience clearly indicates that new perspectives and non-main stream approaches are needed to better characterize the etiopathogenesis and treatment of this disease. This contribution deals with how the new pH-centric anticancer paradigm plays a fundamental role in reaching a more integral understanding of the etiology, pathogenesis, and treatment of this multifactorial disease. For the first time, the armamentarium available for the treatment of the different types and phases of BC is approached here from a Unitarian perspective-based upon the hydrogen ion dynamics of cancer. The wide-ranged pH-related molecular, biochemical and metabolic model is able to embrace most of the fields and subfields of breast cancer etiopathogenesis and treatment. This single and integrated approach allows advancing towards a unidirectional, concerted and synergistic program of treatment. Further efforts in this line are likely to first improve the therapeutics of each subtype of this tumor and every individual patient in every phase of the disease.",Review,Cancer,Spain
"Harguindey, Salvador","Alfarouk, Kahlid; Orozco, Julian Polo; Fais, Stefano","Devesa, Jesus",Towards an Integral Therapeutic Protocol for Breast Cancer Based upon the New H +-Centered Anticancer Paradigm of the Late Post-Warburg Era ,2020,International Journal of Molecular Sciences,10.3390/ijms21207475 ,"A brand new approach to the understanding of breast cancer (BC) is urgently needed. In this contribution, the etiology, pathogenesis, and treatment of this disease is approached from the new pH-centric anticancer paradigm. Only this unitarian perspective, based upon the hydrogen ion (H+) dynamics of cancer, allows for the understanding and integration of the many dualisms, confusions, and paradoxes of the disease. The new H+-related, wide-ranging model can embrace, from a unique perspective, the many aspects of the disease and, at the same time, therapeutically interfere with most, if not all, of the hallmarks of cancer known to date. The pH-related armamentarium available for the treatment of BC reviewed here may be beneficial for all types and stages of the disease. In this vein, we have attempted a megasynthesis of traditional and new knowledge in the different areas of breast cancer research and treatment based upon the wide-ranging approach afforded by the hydrogen ion dynamics of cancer. The concerted utilization of the pH-related drugs that are available nowadays for the treatment of breast cancer is advanced. ",Review,Cancer,Spain
"Wang, Yingshuai","Yang, Tian","He, Qianjun",Strategies for engineering advanced nanomedicines for gas therapy of cancer,2020,National Science Review,10.1093/nsr/nwaa034,"As an emerging and promising treatment method, gas therapy has attracted more and more attention for treatment of inflammation-related diseases, especially cancer. However, therapeutic/therapy-assisted gases (NO, CO, H2S, H2, O2, SO2 and CO2) and most of their prodrugs lack the abilities of active intratumoral accumulation and controlled gas release, resulting in limited cancer therapy efficacy and potential side effects. Therefore, development of nanomedicines to realize tumor-targeted and controlled release of therapeutic/therapy-assisted gases is greatly desired, and also the combination of other therapeutic modes with gas therapy by multifunctional nanocarrier platforms can augment cancer therapy efficacy and also reduce their side effects. The design of nanomedicines with these functions is vitally important, but challenging. In this review, we summarize a series of engineering strategies for construction of advanced gas-releasing nanomedicines from four aspects: (1) stimuli-responsive strategies for controlled gas release; (2) catalytic strategies for controlled gas release; (3) tumor-targeted gas delivery strategies; (4) multi-model combination strategies based on gas therapy. Moreover, we highlight current issues and gaps in knowledge, and envisage current trends and future prospects of advanced nanomedicines for gas therapy of cancer. This review aims to inspire and guide the engineering of advanced gas-releasing nanomedicines.",Review,Cancer,China
"Zhang, Hang","Xie, Mengying; Chen, Honghong; Bavi, Sneha; Sohail, Muhammad","Bavi, Rohit",Gas-mediated cancer therapy,2020,Environmental Chemistry Letters,10.1007/s10311-020-01062-1,"Gas therapy is actually drawing attention in nanomedicine as a safe and therapeutically efficient technique. Indeed, the design of stimuli-responsive nanocarriers with controlled release is encouraging to heal without any risk of gas poisoning. Here, we review recent developments of gas nanogenerators and gas-releasing molecules for controlled and targeted gas therapy in cancer nanomedicine. We present gases used in anticancer therapy, such as hydrogen, carbon dioxide, sulfur dioxide, hydrogen sulfide, oxygen, carbon monoxide, and heavy gases. The construction of gas nanogenerators and gas-releasing molecules with unique biological and physicochemical properties has allowed targeted and controlled release of gas molecules. We describe the stimulation method for each gas, along with gas nanogenerators and gas-releasing molecules.",Review,Cancer,China
"Alshami, Abbas","Einav, Sharon; Skrifvars, Markus B.","Varon, Joseph",Administration of inhaled noble and other gases after cardiopulmonary resuscitation: A systematic review ,2020,American Journal of Emergency Medicine,10.1016/j.ajem.2020.06.066,"Objective: Inhalation of noble and other gases after cardiac arrest (CA) might improve neurological and cardiac outcomes. This article discusses up-to-date information on this novel therapeutic intervention. Data sources: CENTRAL, MEDLINE, online published abstracts from conference proceedings, clinical trial registry clinicaltrials.gov, and reference lists of relevant papers were systematically searched from January 1960 till March 2019. Study selection: Preclinical and clinical studies, irrespective of their types or described outcomes, were included. Data extraction: Abstract screening, study selection, and data extraction were performed by two independent authors. Due to the paucity of human trials, risk of bias assessment was not performed DATA SYNTHESIS: After screening 281 interventional studies, we included an overall of 27. Only, xenon, helium, hydrogen, and nitric oxide have been or are being studied on humans. Xenon, nitric oxide, and hydrogen show both neuroprotective and cardiotonic features, while argon and hydrogen sulfide seem neuroprotective, but not cardiotonic. Most gases have elicited neurohistological protection in preclinical studies; however, only hydrogen and hydrogen sulfide appeared to preserve CA1 sector of hippocampus, the most vulnerable area in the brain for hypoxia. Conclusion: Inhalation of certain gases after CPR appears promising in mitigating neurological and cardiac damage and may become the next successful neuroprotective and cardiotonic interventions.
",Review,Cardiopulmonary Health,United States
"Guan, Wei-Jie","Wei, Chun-Hua; Chen, Ai-Lan; Sun, Xiao-Cong; Guo, Gaung-Yun; Zou, Xu; Shi, Jin-Dong; Lai, Pei-Zhen; Zheng, Ze-Guang","Zhong, Nan-Shan","Erratum to hydrogen/oxygen mixed gas inhalation improves disease severity and dyspnea in patients with Coronavirus disease 2019 in a recent multicenter, open-label clinical trial ",2020,Journal of Thoracic Disease,10.21037/jtd-2020-062 ,No abstract available,Erratum,Cardiopulmonary Health,China
"LeBaron, Tyler W.","Kura, Branislav; Kalocayova, Barbora; Tribulova, Narcis","Slezak, Jan",A New Approach for the Prevention and Treatment of Cardiovascular Disorders: Molecular Hydrogen Significantly Reduces the Effects of Oxidative Stress,2020,Prime Archives in Molecular Biology,10.37247/PAMB.1.2020.22,"Cardiovascular diseases are the most common causes of morbidity and mortality worldwide. Redox dysregulation and a dyshomeostasis of inflammation arise from, and result in, cellular aberrations and pathological conditions, which lead to cardiovascular diseases. Despite years of intensive research, there is still no safe and effective method for their prevention and treatment. Recently, molecular hydrogen has been investigated in preclinical and clinical studies on various diseases associated with oxidative and inflammatory stress such as radiation-induced heart disease, ischemia-reperfusion injury, myocardial and brain infarction, storage of the heart, heart transplantation, etc. Hydrogen is primarily administered via inhalation, drinking hydrogen-rich water, or injection of hydrogen-rich saline. It favorably modulates signal transduction and gene expression resulting in suppression of proinflammatory cytokines, excess ROS production, and in the activation of the Nrf2 antioxidant transcription factor. Although H2 appears to be an important biological molecule with anti-oxidant, antiinflammatory, and anti-apoptotic effects, the exact mechanisms of action remain elusive. There is no reported clinical toxicity; however, some data suggests that H2 has a mild hormetic-like effect, which likely mediate some of its benefits. The mechanistic data, coupled with the pre-clinical and clinical studies, suggest that H2 may be useful for ROS/inflammationinduced cardiotoxicity and other conditions.",Chapter,Cardiopulmonary Health,United States
"Li, Liangtong","Li, Xiangzi; Zhang, Zhe; Liu, Li; Zhou, Yujuan","Liu, Fulin",Protective Mechanism and Clinical Application of Hydrogen in Myocardial Ischemia-reperfusion Injury,2020,Pakistan Journal of Biological Sciences,10.3923/pjbs.2020.103.112,"Cardiovascular disease accounts for one-third of all deaths, with ischemic heart disease as the main cause of death. Under pathological conditions, ischemia-reperfusion injury (IRI) often occurs in tissues. Ischemic injury is mainly caused by anaerobic cell death and reperfusion which results in a wide range of inflammatory responses. These responses are able to increase tissue damage and even damage to the whole body. IRI can also aggravate the original cardiovascular disease during the treatment of cardiovascular disease. Therefore, it is particularly important to understand the mechanism of myocardial ischemia-reperfusion injury (MIRI) for clinical treatment and application. At the same time, it is necessary to find a safe, reliable and feasible method for treating MIRI to reduce the incidence of complications and mortality as well as improve the prognosis and quality of life of patients. As a selective antioxidant, hydrogen can neutralize excessive free radicals, has certain anti-apoptotic and anti-inflammatory effects and it has gradually become a focus and hotspot of preclinical and clinical research. Hydrogen has been shown to have a certain therapeutic effect on MIRI, which can provide a new therapeutic direction for the clinical treatment of myocardial ischemia-reperfusion injury. In this review, the protective mechanism and clinical application of hydrogen in myocardial ischemia-reperfusion injury is discussed. ",Review,Cardiopulmonary Health,China
"Ostojic, Sergej M.",,,COVID-19 and molecular hydrogen inhalation ,2020,Therapeutic Advances in Respiratory Disease,10.1177/1753466620951051 ,No abstract available,Editorial,Cardiopulmonary Health,Serbia
"Qin, Shucun",,,Role of Hydrogen in Atherosclerotic Disease: From Bench to Bedside ,2020,Current Pharmaceutical Design,10.2174/1381612826666201124112152 ,"Atherosclerotic cardiovascular and cerebrovascular diseases are among the leading causes of morbidity and mortality worldwide. Given our recent understanding of its role as a small-molecule antioxidant and anti-inflammatory agent, hydrogen may play an important role in preventing and treating atherosclerotic cardiovascular and cerebrovascular disease. In the past decade, more than 50 publications in the English language literature consider the role of hydrogen as an anti-atherosclerotic agent. In this review, we summarize the pathophysiological characteristics and risk factors associated with atherosclerosis (AS) and the laboratory research data that focuses on hydrogen to prevent and treat this condition, including the responses observed in both animal models and human studies. We will also consider the molecular mechanisms underlying the efficacy of hydrogen molecules with respect to atherosclerotic disease. Future studies might include clinical trials with larger sample populations as well as experiments designed to explore the molecular mechanisms associated with hydrogen treatment in greater depth. ",Review,Cardiopulmonary Health,China
"Russell, Grace","Rehman, Mubasher; LeBaron, Tyler W.; Veal, David; Adukwu, Emmanuel","Hancock, John T.",An Overview of SARS-CoV-2 (COVID-19) Infection and the Importance of Molecular Hydrogen as an Adjunctive Therapy,2020,Reactive Oxygen Species,10.20455/ros.2020.829,"Abstract SARS-CoV-2 is an emerging β-coronavirus that causes COVID-19 disease that manifests primarily as a pulmonary infection that can rapidly progress into severe and acute respiratory distress in susceptible patients. Initial reports of severe pulmonary infections first arose in December 2019 and were reported to the World Health Organization by the Wuhan Municipal Health Commission, China. Within months SARS-CoV-2 rapidly disseminated across the globe causing an unprecedented pandemic that has reached every inhabited continent and provoked an international response into research involving multiple disciplines to combat this novel contagion. Molecular hydrogen (H2) has shown potential as an emerging and effective therapy for numerous diseases, particularly those which involve excessive production of inflammatory agents as well as reactive oxygen/nitrogen species. Of pertinence to the investigations of SARS-CoV-2 infection are the increasing reports that suggest that H2 has therapeutic qualities in the treatment of chronic inflammatory lung conditions, and as such it is likely that this diatomic gas may alleviate the severe pulmonary symptoms of COVID-19. Here, the aim is to review the current research into SARS-CoV-2 and to better understand how treatment with molecular hydrogen is likely to affect cellular responses during SARS-CoV-2 infection.",Review,Cardiopulmonary Health,United Kingdom
"Wang, Mingke","Peng, Jianhui; Hui, Jufen; Hou, Dengyong; Li, Weipeng","Yang, Jishun",Hydrogen therapy as an effective and novel adjuvant treatment against COVID-19 ,2020,QJM: An International Journal of Medicine,10.1093/qjmed/hcaa301,No abstract available,Editorial,Cardiopulmonary Health,China
"Wang, Shao-Ting",,"Xu, Kai-Feng",Response to: Hydrogen therapy as an effective and novel adjuvant treatment against COVID-19 ,2020,QJM: An International Journal of Medicine,10.1093/qjmed/hcaa302 ,No abstract available,Editorial,Cardiopulmonary Health,China
"Wang, Shouguo","Liu, Wei; Song, Yahui; Xia, Tao; Lu, Xianqin; Song, Li; Li, Qingwei; Sun, Jian; Yin, Xuemiao; Feng, Xianqi; Yang, Yunjun","Sun, Tao",Non-Drug Therapy to Combat Coronavirus,2020,Open Journal of Regenerative Medicine,10.4236/ojrm.2020.92007,"Novel coronavirus is threatening the health of people all over the world and all possible treatment strategies are in urgent. The sensitive of virus to heat proposed temperature treatment as an effective method against coronavirus. Here, we proposed several non-drug therapies including far-infrared, thermal air, thermal oxygen, ozone, hydrogen therapy and plasma physical therapy for immediate clinical trial and implementation. Compared with the drug therapy, these methods are safe without side effects, the highest benefit-to-risk ratio, user-friendly, and low implementation costs. It is urgent and significant to start these non-drug therapeutic design and implementation as early as possible, to determine the safety and effectiveness of these therapeutic methods. ",Hypothesis,Cardiopulmonary Health,China
"Wang, Wei-Lu","Ge, Tian-Yu; Chen, Xu; Mao, Yicheng","Zhu, Yi-Zhun","Advances in the Protective Mechanism of NO, H2S, and H2 in Myocardial Ischemic Injury",2020,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2020.588206,"Myocardial ischemic injury is among the top 10 leading causes of death from cardiovascular diseases worldwide. Myocardial ischemia is caused mainly by coronary artery occlusion or obstruction. It usually occurs when the heart is insufficiently perfused, oxygen supply to the myocardium is reduced, and energy metabolism in the myocardium is abnormal. Pathologically, myocardial ischemic injury generates a large number of inflammatory cells, thus inducing a state of oxidative stress. This sharp reduction in the number of normal cells as a result of apoptosis leads to organ and tissue damage, which can be life-threatening. Therefore, effective methods for the treatment of myocardial ischemic injury and clarification of the underlying mechanisms are urgently required. Gaseous signaling molecules, such as NO, H2S, H2, and combined gas donors, have gradually become a focus of research. Gaseous signaling molecules have shown anti-apoptotic, anti-oxidative and anti-inflammatory effects as potential therapeutic agents for myocardial ischemic injury in a large number of studies. In this review, we summarize and discuss the mechanism underlying the protective effect of gaseous signaling molecules on myocardial ischemic injury.",Review,Cardiopulmonary Health,China
"Xu, Kecheng",,,Hydrogen-Oxygen Inhalation for Treatment of COVID-19: With Commentary from Zhong Nanshan,2020,World Scientific,10.1142/11910 ,"COVID-19 pneumonia is ravaging the world. Faced with the lack of specialized treatment, a novel form of hydrogen-oxygen inhalation therapy has been successfully developed. Molecular hydrogen, a very safe 'physiological gas', has proven to be able to reduce lung damage caused by viruses including COVID-19, improve dyspnea, and promote disease recovery due to its healing biological properties. This book details an innovative form of treatment from theory to practice, and comprehensively discusses the rationality of this new treatment for COVID-19 pneumonia. It is ideal not only for doctors, but also for the general public, as it provides new knowledge and effective treatment and rehabilitation methods to combat this highly infectious disease.",Book,Cardiopulmonary Health,China
"Yang, Fuxun","Yue, Ruiming; Luo, Xiaoxiu; Liu, Rongan","Huang, Xiaobo",Hydrogen: A Potential New Adjuvant Therapy for COVID-19 Patients ,2020,Frontiers in Pharmacology,10.3389/fphar.2020.543718 ,"Hydrogen has been shown to have antioxidant, anti-inflammatory, hormone-regulating, and apoptosis-resistance properties, among others. Based on a review of the research, the use of hydrogen might reduce the destructive cytokine storm and lung injury caused by SARS-CoV-2 during COVID-19 (Corona Virus Disease 2019) in the early stage, stimulating ropy sputum drainage, and ultimately reducing the incidence of severe disease. Molecular hydrogen treatment has the potential to become a new adjuvant therapy for COVID-19, but its efficacy and safety require large clinical trials and further confirmation. ",Hypothesis,Cardiopulmonary Health,China
"Li, Yuexian","Li, Guoqing; Suo, Liangyuan","Zhang, Jin",Recent advances in studies of molecular hydrogen in the treatment of pancreatitis ,2020,Life Sciences,10.1016/j.lfs.2020.118641 ,"Pancreatitis is an inflammatory disease of the pancreas characterized by acinar cell injury and is associated with the abnormal release of trypsin, which results in high mortality due to systemic inflammatory response syndrome (SIRS) and multiple organ dysfunction syndrome (MODS). The inflammatory response, impaired autophagic flux, endoplasmic reticulum stress (ERS) and their interactions are involved in the development of pancreatitis. Molecular hydrogen (H2) is a novel antioxidant that possesses the features of selective scavenging of oxygen free radicals and nontoxic metabolites and has been shown to be efficacious for treating infection, injury, tumors, ischemia-reperfusion organ injury, metabolic disease and several other diseases. Recent studies have found that H2 is also useful in the treatment of pancreatitis, which may be related to the mechanism of antioxidative stress, anti-inflammation, anti-apoptosis, regulation of immunity and regulation of molecular pathways. This review focuses on the pathogenesis of pancreatitis and the research progress and potential mechanisms of H2 against pancreatitis to provide theoretical bases for future research and clinical application of H2 therapy for pancreatitis. ",Review,Digestive Health,China
"Ostojic, Sergej M.",,,Letter: balancing gut hydrogen as a proxy for bacteriotherapy benefits in irritable bowel syndrome,2020,Alimentary Pharmacology and Therapeutics,10.1111/apt.15782,No abstract available,Editorial,Digestive Health,Serbia
"Kawamura, Takuji","Higashida, Kazuhiko","Muraoka, Isao",Application of Molecular Hydrogen as a Novel Antioxidant in Sports Science ,2020,Oxidative Medicine and Cellular Longevity,10.1155/2020/2328768 ,"Molecular hydrogen (H2) is a colorless, tasteless, odorless, and minimal molecule with high flammability. Although H2 has been thought to be an inert gas in living bodies for many years, an animal study reported that inhalation of H2 gas decreased oxidative stress and suppressed brain injury caused by ischemia and reperfusion injury due to its antioxidant action. Since then, the antioxidant action of H2 has attracted considerable attention and many studies have reported on its benefits. Most studies have reported the effects of H2 on diseases such as cancer, diabetes, cerebral infarction, and Alzheimer's disease. However, little is known regarding its effects on healthy subjects and exercise. Thus far, including our study, only 6 studies have explored the effect of H2 on exercise. H2 is the smallest molecule and therefore can easily penetrate the cellular membrane and rapidly diffuse into organelles. H2 is thought to be able to selectively reduce hydroxyl radicals and peroxynitrite and does not affect physiologically reactive species. H2 can be supplied to the body through multiple routes of administration, such as oral intake of H2 water and H2 bathing. Therefore, H2 may be a potential alternative strategy for conventional exogenous antioxidant interventions in sports science. The purpose of this review is to provide evidence regarding the effects of H2 intake on changes in physiological and biochemical parameters, centering on exercise-induced oxidative stress, for each intake method. Furthermore, this review highlights possible future directions in this area of research. ",Review,Excercise/Sport,Japan
"Nogueira, Jonatas E.",,"Branco, Luiz G. S.",Recent Advances in Molecular Hydrogen Research Reducing Exercise-Induced Oxidative Stress and Inflammation,2020,Current Pharmaceutical Design,10.2174/1381612826666201113100245 ,"Physical exercise-induced oxidative stress and inflammation may be beneficial when exercise is a regular activity, but it is rather harmful when exercise is exhaustive and performed by unaccustomed organisms. Molecular hydrogen (H2 ) has recently appeared as a potent antioxidant and anti-inflammatory molecule in numerous pathological conditions. However, its role is relatively unknown under physiological conditions such as physical exercise. Therefore, this review summarizes the current knowledge of the H2 reducing oxidative stress and inflammation in physical exercise, reporting data from both animal and human studies. ",Review,Excercise/Sport,Brazil
"Ostojic, Sergej M.",,,Exercise-Driven Increase in Gut Microbial Hydrogen Production as a Possible Factor of Metabolic Health,2020,Frontiers in Physiology,10.3389/fphys.2020.01065,No abstract available,Editorial,Excercise/Sport,Serbia
"Ostojic, Sergej M.",,,Hydrogen Gas as an Exotic Performance-Enhancing Agent: Challenges and Opportunities ,2020,Current Pharmaceutical Design,10.2174/1381612826666200922155242 ,"Background: Hydrogen gas (H2 ) has entered the world of experimental therapeutics approximately four and a half decades ago. Over the years, this simple molecule appears to drive more and more scientific attention perhaps due to a dualism of H2 affirmative features demonstrated in numerous in vitro, animal and human studies on one side, and stillpuzzling mechanism(s) of its biological activity on the other. Up to this point, H2 was scrutinized for more than 170 different disease models and pathologies, and many research groups across the world have lately started to dynamically investigate its conceivable performance-enhancing potential. Methods: We outlined here the studies indexed in leading research databases (PubMed, Web of Science, SCOPUS, JSTORE) that explored the effects of hydrogen on exercise performance, and also addressed important restraints, open questions, and windows of opportunities for forthcoming research and possible H2 enactment in exercise physiology. About two dozen trials have been identified in this domain, with most published during the past 5 years, while drinking hydrogen-rich water recognized as the most convenient method to deliver H2 in both animal and human studies. Results: Either administered as an inhalational gas, enteral hydrogen-rich water, or intravenous hydrogen-rich saline, H2 seems to favorably affect various exercise performance outcomes and biomarkers of exercise-associated fatigue, inflammation, and oxidative stress. Not all studies have shown corroborative effects, and it appears that the gold-standard protocol for applying H2 in the field of exercise science does not exist at the moment, with studies markedly differ in the dose of H2 administered, the duration of a treatment, and the source of hydrogen. Conclusion: H2 is a newfangled and rather effective performance-enhancing agent yet its promising ergogenic potency has to be further validated and characterized in more well-controlled, appropriately sampled and long-term mechanistic trials. Also, appropriate regulation of hydrogen utilization in sport as an exotic medical gas may require distinctive legislative actions of relevant regulatory agencies in the future.
",Review,Excercise/Sport,Serbia
"Takahashi, Hiroshi",,,Application of Hydrogen in Ophthalmology ,2020,Current Pharmaceutical Design,10.2174/1381612826666201019103446 ,"This report reviews studies on the use of H2 in the ophthalmological field. In retinal diseases, particularly in a retinal ischemia-reperfusion injury, effects of H2 are remarkable in reducing retinal tissue damage. H2 treatment of corneal damage caused by alkali or UVB suppressed scar formation. The most unique application of H2 in the ophthalmological field appears to be its use in phacoemulsification cataract surgery. Ultrasound oscillation produces ·OH through the cavitation phenomenon in the anterior chamber of the eye, which induces oxidative insults in the corneal endothelium. Phacoemulsification using H2 dissolved in the irrigation solution significantly suppressed the corneal endothelial damage. The effect of H2 was direct and clear, as H2 instantly scavenges ·OH produced by ultrasound oscillation in the anterior chamber, thereby suppressing oxidative insults during the phacoemulsification procedure. ",Review,Eye Health,Japan
"Lucas, Kurt","Rosch, Moritz","Langguth, Peter",Molecular hydrogen (H 2 ) as a potential treatment for acute and chronic fatigue ,2020,Archiv der Pharmazie,10.1002/ardp.202000378 ,"Many diseases as well as acute conditions can lead to fatigue, which can be either temporary or chronic in nature. Acute fatigue develops frequently after physical exercise or after alcohol hangover, whereas microbial infections such as influenza or COVID-19 and chronic diseases like Parkinson's disease or multiple sclerosis are often associated with chronic fatigue. Oxidative stress and a resulting disturbance of mitochondrial function are likely to be common denominators for many forms of fatigue, and antioxidant treatments have been shown to be effective in alleviating the symptoms of fatigue. In this study, we review the role of reactive oxygen and nitrogen species in fatigue and the antioxidant effects of the intake of molecular hydrogen. We propose that molecular hydrogen is well suited for the treatment of temporary and chronic forms of oxidative stress-associated fatigue. ",Review,Fatigue,Germany
"Barancik, Miroslav","Kura, Branislav; LeBaron, Tyler W.; Bolli, Roberto; Buday, Jozef","Slezak, Jan",Molecular and Cellular Mechanisms Associated with Effects of Molecular Hydrogen in Cardiovascular and Central Nervous Systems ,2020,Antioxidants,10.3390/antiox9121281 ,"The increased production of reactive oxygen species and oxidative stress are important factors contributing to the development of diseases of the cardiovascular and central nervous systems. Molecular hydrogen is recognized as an emerging therapeutic, and its positive effects in the treatment of pathologies have been documented in both experimental and clinical studies. The therapeutic potential of hydrogen is attributed to several major molecular mechanisms. This review focuses on the effects of hydrogen on the cardiovascular and central nervous systems, and summarizes current knowledge about its actions, including the regulation of redox and intracellular signaling, alterations in gene expressions, and modulation of cellular responses (e.g., autophagy, apoptosis, and tissue remodeling). We summarize the functions of hydrogen as a regulator of nuclear factor erythroid 2-related factor 2 (Nrf2)-mediated redox signaling and the association of hydrogen with mitochondria as an important target of its therapeutic action. The antioxidant functions of hydrogen are closely associated with protein kinase signaling pathways, and we discuss possible roles of the phosphoinositide 3-kinase/protein kinase B (PI3K/Akt) and Wnt/β-catenin pathways, which are mediated through glycogen synthase kinase 3β and its involvement in the regulation of cellular apoptosis. Additionally, current knowledge about the role of molecular hydrogen in the modulation of autophagy and matrix metalloproteinases-mediated tissue remodeling, which are other responses to cellular stress, is summarized in this review. ",Review,Hydrogen Biology,Slovakia
"Fukai, Yuh",,,Functions of Heavy Water in Living Organisms,2020,Molecular Hydrogen for Medicine: The Art of Ancient Life Revived,10.1007/978-981-15-7157-2_7,"After a brief survey of physiological actions of heavy water, recent medical applications for organ transplant are explained in some detail. Organ preservation utilizing heavy water solutions was found to be far more effective than existing preservation solutions. This advancement in the preservation method is expected to change the transplant medicine drastically by allowing the use of cardiac-death grafts in addition to brain-death grafts.",Chapter,Hydrogen Biology,Japan
"Fukai, Yuh",,,Physiological Effects of the Hydrogen Molecules,2020,Molecular Hydrogen for Medicine: The Art of Ancient Life Revived,10.1007/978-981-15-7157-2_4,"Following the introduction to the medical effects of H2 molecules, this section summarizes some basic physiological effects of molecular H2 and its mechanism of action on diseases. It should be noted that the molecular hydrogen discussed here is a completely different entity from ions. Positive hydrogen ions (i.e. the proton H+ or the oxonium ion H3O+) and negative hydrogen ions (i.e. the hydroxide ion OH−) commonly exist in acidic and alkaline solutions, but molecular H2 does not ordinarily exist. In addition, the properties of these ions are completely different from molecular H2. It is in the form of molecular H2 that hydrogen exerts such physiological effects.",Chapter,Hydrogen Biology,Japan
"Radyuk, Svetlana N.",,,Mechanisms Underlying the Biological Effects of Molecular Hydrogen ,2020,Current Pharmaceutical Design,10.2174/1381612826666201211112846 ,"Aberrant redox-sensitive reactions and accumulation of oxidative damage can impair body functions and contribute to the development of various pathologies and aging. Although antioxidant substances have long been recognized as a measure of alleviating oxidative stress and restoring redox balance, the arsenal of effective means of preventing the development of various disorders is still limited. There is an emerging field that utilizes molecular hydrogen (H2 ) as a scavenger of free radicals and reactive oxygen species (ROS). Among the remarkable characteristics of H2 is its ability to counteract harmful effects of hydroxyl radical and peroxynitrite without affecting activity of functionally important ROS, such as hydrogen peroxide and nitric oxide. The beneficial effects of H2 have been documented in numerous clinical studies and studies on animal models and cell cultures. However, the established scavenging activity of H2 can only partially explain its beneficial effects, because the effects are achieved at very low concentrations of H2 . Given the rate of H2 diffusion, such low concentrations may not be sufficient to scavenge continuously generated ROS. H2 can also act as a signaling molecule and induce defense responses. However, the exact targets and mechanism(s) by which H2 exerts these effects are unknown. Here we analyzed both positive and negative effects of the endogenous H2 , identified the redox-sensitive components of the pathways affected by molecular hydrogen, and also discussed a potential role of molecular hydrogen in regulating cellular redox. ",Review,Hydrogen Biology,United States
"Tarnava, Alex T.",,,"EVOLUTION, ADAPTIVE STRESSORS AND MOLECULAR HYDROGEN",2020,International Journal of Advanced Research,10.21474/IJAR01/11998       ,"Molecular hydrogen (H2) has demonstrated therapeutic properties across numerous models. To date, the mechanism underlying the beneficial responses to H2 exposure remains elusive. The initial hypothesis that molecular hydrogen acts as a direct, selective antioxidant in vivo does not reconcile models where H2 has shown to increase oxidative stress, nor does it explain numerous other physiological changes that have been observed throughout the literature. Some researchers have proposed that H2 acts as a hormetic stress. This hypothesis does not reconcile H2 being non-toxic in nature, even at high doses. Hormetic stressors have contributed to evolutionary adaptations, with the absence of these stressors causing cellular dysfunction. H2 has played an intimate role in the evolution of our planetâ€™s atmosphere, the evolution of mitochondria and of life on the planet. Endogenously produced H2 volumes vary dramatically between individuals and are expected to have varied through human evolution. Our cells have evolved to tolerate erratic and intermittent exposure to H2. Intermittent exogenous H2 exposure yields results similar to various hormetic stressors. Continued research elucidating how H2 acts as an adaptive stressor, both through endogenous levels and exogenous supplementation, are highly warranted.",Review,Hydrogen Biology,Canada
